date,hour,time,purchase bid,sell bid,mcv,fsv,mcp
1/1/2021,1,0:00,5757.4,13513,4262.7,4262.7,2301.03
1/1/2021,1,0:15,5877.1,14487.5,4592.7,4592.7,2300.12
1/1/2021,1,0:30,5926.4,15368.5,4679.5,4679.5,2298.1
1/1/2021,1,0:45,5956.8,16043.9,4763.1,4763.1,2243.24
1/1/2021,2,1:00,6330.8,17019,5225.8,5225.8,2131.71
1/1/2021,2,1:15,6199.5,17714,5137.8,5137.8,2106.41
1/1/2021,2,1:30,6263.7,18285,5239.2,5239.2,2100.3
1/1/2021,2,1:45,6247.6,18885.9,5268.7,5268.7,2050.43
1/1/2021,3,2:00,6275.3,19057,5306.1,5306.1,2015.74
1/1/2021,3,2:15,6356.9,19143.1,5387.7,5387.7,2015.56
1/1/2021,3,2:30,6210.8,19290.1,5279.2,5279.2,2000.5
1/1/2021,3,2:45,6233.3,19339,5285.1,5285.1,2000.97
1/1/2021,4,3:00,6309.9,19338.9,5351.3,5351.3,2009.21
1/1/2021,4,3:15,6407.5,19382.5,5448.9,5448.9,2009.08
1/1/2021,4,3:30,6530.2,19379.5,5565.5,5565.5,2015.15
1/1/2021,4,3:45,6443.9,19461.5,5521.2,5521.2,1999.85
1/1/2021,5,4:00,6692.8,19847.6,5770.5,5770.5,1999.28
1/1/2021,5,4:15,6752.4,19373.6,5770.1,5770.1,2050.54
1/1/2021,5,4:30,6960.9,19616.1,5998,5998,2015.89
1/1/2021,5,4:45,7359.9,19320.5,6359.4,6359.4,2089.19
1/1/2021,6,5:00,7872.3,17740.1,6354.2,6354.2,2301.15
1/1/2021,6,5:15,8290.3,16593.3,6223,6223,2303.05
1/1/2021,6,5:30,8285.7,16109.3,6552.1,6552.1,2302.09
1/1/2021,6,5:45,8230.9,15622.7,6903.4,6903.4,2300.27
1/1/2021,7,6:00,8754.9,14077.1,7812.8,7812.8,2718.06
1/1/2021,7,6:15,9448.5,14110.4,8506.4,8506.4,2718.91
1/1/2021,7,6:30,9980.8,12895.9,8806,8806,2809.56
1/1/2021,7,6:45,10922.8,12697.5,9527,9527,2962.71
1/1/2021,8,7:00,12009.4,12377.4,10325,10325,3089.69
1/1/2021,8,7:15,12893.7,11278.3,10562.8,10562.8,3711.7
1/1/2021,8,7:30,13821.8,10787.5,10576.4,10576.4,4500.46
1/1/2021,8,7:45,14469.3,10194.7,10054.6,10054.6,5700.17
1/1/2021,9,8:00,15119.4,9855.3,9759.3,9759.3,5700.48
1/1/2021,9,8:15,15391.5,9171.4,9075.4,9075.4,5700.96
1/1/2021,9,8:30,15341.5,8872.7,8776.7,8776.7,6000.87
1/1/2021,9,8:45,14872.2,8667.5,8571.5,8571.5,6000.87
1/1/2021,10,9:00,14670.4,8339.7,8336.7,8336.7,6900.07
1/1/2021,10,9:15,14281.7,8329.4,8233.4,8233.4,6000.99
1/1/2021,10,9:30,14477.7,8550.9,8454.9,8454.9,6000.81
1/1/2021,10,9:45,14965.5,8491.8,8395.8,8395.8,6000.73
1/1/2021,11,10:00,14362.6,8617.6,8521.6,8521.6,6000.11
1/1/2021,11,10:15,14127.5,8494.3,8398.3,8398.3,5900.12
1/1/2021,11,10:30,13723.4,8562.4,8466.4,8466.4,5000.78
1/1/2021,11,10:45,13303.4,8447.2,8351.2,8351.2,5000.55
1/1/2021,12,11:00,12994.7,8662.4,8089.4,8089.4,4500.61
1/1/2021,12,11:15,12792.5,8346.1,7773.1,7773.1,4500.7
1/1/2021,12,11:30,11983.5,7644.8,7471.8,7471.8,4500.72
1/1/2021,12,11:45,11514.7,7698.3,7525.3,7525.3,4500.23
1/1/2021,13,12:00,10154.9,7752.5,7494.2,7494.2,4000.1
1/1/2021,13,12:15,10188,7851.6,7593.3,7593.3,4000.68
1/1/2021,13,12:30,9699.3,7919.9,7552.64,7552.64,3747.28
1/1/2021,13,12:45,9299.8,7988.4,7199.7,7199.7,3660.88
1/1/2021,14,13:00,8408.9,8823.3,6936.5,6936.5,3033.6
1/1/2021,14,13:15,8184.4,9475.1,6816.9,6816.9,2989.86
1/1/2021,14,13:30,8173.1,10034.4,6813.9,6813.9,2989.74
1/1/2021,14,13:45,8177.1,10528.5,6817.9,6817.9,2989.28
1/1/2021,15,14:00,8368.8,11223.2,7238.4,7238.4,2989.57
1/1/2021,15,14:15,8430.1,11236.4,7301,7301,2962.33
1/1/2021,15,14:30,8742.6,11788.5,7637.8,7637.8,2942.99
1/1/2021,15,14:45,8961,12830.2,7881.4,7881.4,2900.69
1/1/2021,16,15:00,9057.7,12216.3,8029.7,8029.7,2809.91
1/1/2021,16,15:15,9330.6,12201.4,8302.6,8302.6,2809.97
1/1/2021,16,15:30,9947.5,12059.5,8824,8824,2962.76
1/1/2021,16,15:45,10297.6,11746.4,9172.8,9172.8,2989.41
1/1/2021,17,16:00,10986.1,11395.7,9733.6,9733.6,3058.74
1/1/2021,17,16:15,11453.5,10797.1,9908.4,9908.4,3199.54
1/1/2021,17,16:30,11572.4,10532,9665.5,9665.5,3620.32
1/1/2021,17,16:45,11285.5,9967.5,9342.3,9342.3,3717.64
1/1/2021,18,17:00,10406.7,10358.2,8995.7,8995.7,3100.44
1/1/2021,18,17:15,9512.9,10003.3,8362.6,8362.6,2900.41
1/1/2021,18,17:30,9855.4,9850.7,8365.7,8365.7,3089.83
1/1/2021,18,17:45,10365,9546,8547.8,8547.8,3329.44
1/1/2021,19,18:00,10904.1,10907.6,9771.56,9771.56,3300.05
1/1/2021,19,18:15,11305,10625.6,9983.8,9983.8,3717.89
1/1/2021,19,18:30,11277.4,10222.8,9921.5,9921.5,4000.06
1/1/2021,19,18:45,11033.1,10150.6,9776.7,9776.7,3989.46
1/1/2021,20,19:00,10033.1,9784,9098,9098,3717.4
1/1/2021,20,19:15,9513.2,9643.1,8672.4,8672.4,3494.49
1/1/2021,20,19:30,9271.1,9353.9,8433.6,8433.6,3497.84
1/1/2021,20,19:45,8673.6,9309.8,7898,7898,3349.14
1/1/2021,21,20:00,8148.3,9926.2,7492.1,7492.1,2799.49
1/1/2021,21,20:15,7501.6,9999.1,6845.4,6845.4,2794.17
1/1/2021,21,20:30,7228,9723.1,6490.5,6490.5,2899.11
1/1/2021,21,20:45,7042.2,9590.1,6223.7,6223.7,2989.3
1/1/2021,22,21:00,6779.2,9781.8,5972.8,5972.8,2799.1
1/1/2021,22,21:15,6324.8,10118.8,5531.3,5531.3,2619.11
1/1/2021,22,21:30,5965.1,10395.4,5182.6,5182.6,2619.17
1/1/2021,22,21:45,5688,10707.4,4922.7,4922.7,2509.87
1/1/2021,23,22:00,5762.1,12267.3,4142,4142,2299.27
1/1/2021,23,22:15,5805.5,12695.3,3972.3,3972.3,2399.55
1/1/2021,23,22:30,5451.1,13248.4,3608.9,3608.9,2374.37
1/1/2021,23,22:45,5165.2,14254.3,3444.3,3444.3,2208.28
1/1/2021,24,23:00,5112.7,14494.6,3638.1,3638.1,2302.32
1/1/2021,24,23:15,5266.3,14097.6,3604.1,3604.1,2302.9
1/1/2021,24,23:30,5608.2,13749.6,3936.1,3936.1,2302.41
1/1/2021,24,23:45,5776.6,13410.1,4324.1,4324.1,2300.99
2/1/2021,1,0:00,6542.2,14034.8,5127.4,5127.4,2399.78
2/1/2021,1,0:15,6627.8,15177.3,5215.7,5215.7,2307.74
2/1/2021,1,0:30,6799.1,16165.3,5386.7,5386.7,2307.72
2/1/2021,1,0:45,6705.2,17131.7,5298.3,5298.3,2298.1
2/1/2021,2,1:00,6989.2,18166.8,5495.1,5495.1,2270.74
2/1/2021,2,1:15,6776,18798.8,5436.9,5436.9,2106.45
2/1/2021,2,1:30,6878.3,19576.7,5569.2,5569.2,2106.2
2/1/2021,2,1:45,6862.1,20192.6,5610.4,5610.4,2089.8
2/1/2021,3,2:00,6909.9,20502,5691.1,5691.1,2015.95
2/1/2021,3,2:15,7066.5,20597,5822.2,5822.2,2050.75
2/1/2021,3,2:30,7107.5,20656,5889.1,5889.1,2015.82
2/1/2021,3,2:45,7099.3,20748,5880.9,5880.9,2015.54
2/1/2021,4,3:00,7086.4,20653.5,5871.5,5871.5,2015.13
2/1/2021,4,3:15,7072.2,20476.1,5902.4,5902.4,1999.86
2/1/2021,4,3:30,7037.4,20486.1,5935.9,5935.9,1877.98
2/1/2021,4,3:45,7035.6,20466.1,5934.1,5934.1,1877.72
2/1/2021,5,4:00,7206.7,20432.3,6106,6106,1877.96
2/1/2021,5,4:15,7447.9,20219.3,6227.3,6227.3,2050.57
2/1/2021,5,4:30,7669.5,20000.4,6240.6,6240.6,2106.31
2/1/2021,5,4:45,7955.5,19614.4,6182.8,6182.8,2250.8
2/1/2021,6,5:00,8520.2,18524.1,6516.9,6516.9,2401.17
2/1/2021,6,5:15,8753,17408.6,6675.3,6675.3,2401.07
2/1/2021,6,5:30,8807.1,16681.5,6658.7,6658.7,2401.42
2/1/2021,6,5:45,9104,15466.5,7068.6,7068.6,2374.28
2/1/2021,7,6:00,9163.2,13553.6,7720.2,7720.2,2479.99
2/1/2021,7,6:15,10013.8,13605.6,8455.5,8455.5,2718.5
2/1/2021,7,6:30,10387.2,13198.2,8523.8,8523.8,2799.09
2/1/2021,7,6:45,11632.6,13363.8,9239.8,9239.8,2809.88
2/1/2021,8,7:00,12553.3,12966.4,9951.3,9951.3,3019.61
2/1/2021,8,7:15,13920.9,11921.9,10793.5,10793.5,3700.7
2/1/2021,8,7:30,14831.8,11331,10900.4,10900.4,4500.2
