date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-04-2021,1,00:00 - 00:15,10088.4,9519.5,7848.63,7848.63,3938.51,3938.51
01-04-2021,1,00:15 - 00:30,10352.2,10274.2,8287.91,8287.91,3929.38,3929.38
01-04-2021,1,00:30 - 00:45,10539.3,11044,8743.9,8743.9,3469.92,3469.92
01-04-2021,1,00:45 - 01:00,10516.6,11132.9,8721.5,8721.5,3469.79,3469.79
01-04-2021,2,01:00 - 01:15,10215.6,11255.8,8385.4,8385.4,3398.97,3398.97
01-04-2021,2,01:15 - 01:30,10054.7,11456.7,8224.5,8224.5,3363.78,3363.78
01-04-2021,2,01:30 - 01:45,9701.8,11650.1,7903.7,7903.7,3279.84,3279.84
01-04-2021,2,01:45 - 02:00,9268.1,11627,7569.9,7569.9,3275.82,3275.82
01-04-2021,3,02:00 - 02:15,8686.4,11836.4,7221.9,7221.9,3269.77,3269.77
01-04-2021,3,02:15 - 02:30,8667.2,11986,7202.9,7202.9,3279.01,3279.01
01-04-2021,3,02:30 - 02:45,8279.7,12047,6908.53,6908.53,3202.33,3202.33
01-04-2021,3,02:45 - 03:00,8273.6,12156.7,6899.57,6899.57,3202.71,3202.71
01-04-2021,4,03:00 - 03:15,8038.8,12461.7,6897.1,6897.1,3199.01,3199.01
01-04-2021,4,03:15 - 03:30,8060.5,12506.7,6918.4,6918.4,3199.05,3199.05
01-04-2021,4,03:30 - 03:45,8020.1,12572.9,6890,6890,3123.41,3123.41
01-04-2021,4,03:45 - 04:00,7896.4,12712.9,6790.5,6790.5,3059.83,3059.83
01-04-2021,5,04:00 - 04:15,8267.1,12746.4,7135.6,7135.6,3124,3124
01-04-2021,5,04:15 - 04:30,8385,12649.5,7219.32,7219.32,3200.19,3200.19
01-04-2021,5,04:30 - 04:45,8469.2,12517.5,7112.4,7112.4,3200.96,3200.96
01-04-2021,5,04:45 - 05:00,8456.2,12071.8,7085.56,7085.56,3202.62,3202.62
01-04-2021,6,05:00 - 05:15,8857.2,11725.8,7552.5,7552.5,3363.61,3363.61
01-04-2021,6,05:15 - 05:30,9370.4,12087.7,8056.6,8056.6,3398.31,3398.31
01-04-2021,6,05:30 - 05:45,9971.1,12698,8331.9,8331.9,3294.95,3294.95
01-04-2021,6,05:45 - 06:00,10145.3,13059.1,8581.4,8581.4,3279.79,3279.79
01-04-2021,7,06:00 - 06:15,10509.5,13465.4,9275.1,9275.1,3338.54,3338.54
01-04-2021,7,06:15 - 06:30,10360.2,13599.1,9130.2,9130.2,3279.16,3279.16
01-04-2021,7,06:30 - 06:45,10550.5,14390.3,9404.82,9404.82,3200.23,3200.23
01-04-2021,7,06:45 - 07:00,10424.5,14227.3,9246.85,9246.85,3200.55,3200.55
01-04-2021,8,07:00 - 07:15,10106.4,14121.4,9085.59,9085.58,3200.9,3200.9
01-04-2021,8,07:15 - 07:30,9975.6,13946.6,9039.3,9039.3,3279.1,3279.1
01-04-2021,8,07:30 - 07:45,9406.6,13863.9,8675.8,8675.8,3099.55,3099.55
01-04-2021,8,07:45 - 08:00,9206.2,13991,8477.2,8477.2,3062.53,3062.53
01-04-2021,9,08:00 - 08:15,8191.3,13761.2,7662,7662,2829.98,2829.98
01-04-2021,9,08:15 - 08:30,8387.3,13342.8,7770.62,7770.62,3000.21,3000.21
01-04-2021,9,08:30 - 08:45,8236.6,12262.2,7358.1,7358.1,3239.07,3239.07
01-04-2021,9,08:45 - 09:00,7784.7,11892.3,6957.12,6957.12,3200.25,3200.25
01-04-2021,10,09:00 - 09:15,7561.9,11161,6721.7,6721.7,3283.19,3283.19
01-04-2021,10,09:15 - 09:30,7726.1,10733.2,6732.1,6732.1,3361,3361
01-04-2021,10,09:30 - 09:45,7581.4,10406.1,6583.6,6583.6,3398.32,3398.32
01-04-2021,10,09:45 - 10:00,7385.3,10616.3,6389.4,6389.4,3359.31,3359.31
01-04-2021,11,10:00 - 10:15,7712.3,10731.8,6373.1,6373.1,3359.17,3359.17
01-04-2021,11,10:15 - 10:30,7850.3,10777.7,6662.5,6662.5,3398.54,3398.54
01-04-2021,11,10:30 - 10:45,7808.6,10985.6,6521.3,6521.3,3363.04,3363.04
01-04-2021,11,10:45 - 11:00,8082.2,11206.1,6605.5,6605.5,3299.77,3299.77
01-04-2021,12,11:00 - 11:15,8428.3,11867.7,6865.2,6865.2,3336.9,3336.9
01-04-2021,12,11:15 - 11:30,8593.3,11966.6,6938.6,6938.6,3283.36,3283.36
01-04-2021,12,11:30 - 11:45,8855.1,12791.4,7200.4,7200.4,3279.88,3279.88
01-04-2021,12,11:45 - 12:00,8855,13122.9,7198.57,7198.57,3200.69,3200.69
01-04-2021,13,12:00 - 12:15,8966.8,13368.2,7335.1,7335.1,3198,3198
01-04-2021,13,12:15 - 12:30,8731.6,13904.1,7203,7203,3123.78,3123.78
01-04-2021,13,12:30 - 12:45,8235.4,14111,6940.6,6940.6,3059.99,3059.99
01-04-2021,13,12:45 - 13:00,7784.3,14064.2,6939.9,6939.9,3059.63,3059.63
01-04-2021,14,13:00 - 13:15,7586.5,14397.9,6840.3,6840.3,2979.81,2979.81
01-04-2021,14,13:15 - 13:30,7651.4,15049.2,6905.2,6905.2,2969.25,2969.25
01-04-2021,14,13:30 - 13:45,7615.7,15308.6,6950.9,6950.9,2856.01,2856.01
01-04-2021,14,13:45 - 14:00,7890.6,15801.9,7265.2,7265.2,2773.83,2773.83
01-04-2021,15,14:00 - 14:15,8479.9,14818.2,7664.6,7664.6,2969.05,2969.05
01-04-2021,15,14:15 - 14:30,9128.7,14681.6,8213.4,8213.4,2979.33,2979.33
01-04-2021,15,14:30 - 14:45,10140,14328.5,8972.54,8972.54,3059.33,3059.33
01-04-2021,15,14:45 - 15:00,10313.8,14128.6,9046.01,9046.01,3059.76,3059.76
01-04-2021,16,15:00 - 15:15,10807.2,14244.4,9578.92,9578.92,3099.11,3099.11
01-04-2021,16,15:15 - 15:30,10973,13935.1,9643.65,9643.65,3199.85,3199.85
