date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-08-2021,1,00:00 - 00:15,5646,13203.2,4537.1,4537.1,1600.43,1600.43
01-08-2021,1,00:15 - 00:30,5789.6,13516.3,4558.35,4558.35,1949.5,1949.5
01-08-2021,1,00:30 - 00:45,5738.9,13642.3,4521.85,4521.85,1879.99,1879.99
01-08-2021,1,00:45 - 01:00,5549.6,13989.3,4422,4422,1879.47,1879.47
01-08-2021,2,01:00 - 01:15,5515.8,14562.3,4451.8,4451.8,1710.45,1710.45
01-08-2021,2,01:15 - 01:30,5476,14719.6,4449.71,4449.71,1500,1500
01-08-2021,2,01:30 - 01:45,5120.9,15070.3,4188.3,4188.3,1499.7,1499.7
01-08-2021,2,01:45 - 02:00,4966,15317.3,4033.4,4033.4,1499.38,1499.38
01-08-2021,3,02:00 - 02:15,4909.4,16101.8,3978.1,3978.1,1499.17,1499.17
01-08-2021,3,02:15 - 02:30,4687.9,16184.8,3881.9,3881.9,1407.71,1407.71
01-08-2021,3,02:30 - 02:45,4632,16336.8,3944.9,3944.9,1406.37,1406.37
01-08-2021,3,02:45 - 03:00,4602.7,16510.1,4011.2,4011.2,1405.29,1405.29
01-08-2021,4,03:00 - 03:15,4572.7,16495.8,3931.9,3931.9,1404.87,1404.87
01-08-2021,4,03:15 - 03:30,4544.4,16518.9,3942,3942,1404.44,1404.44
01-08-2021,4,03:30 - 03:45,4148.4,17178.9,3944,3944,1400.72,1400.72
01-08-2021,4,03:45 - 04:00,4145.5,17222.9,3984.99,3984.99,1400.25,1400.25
01-08-2021,5,04:00 - 04:15,4114.7,16920.2,3986.34,3986.34,1099.86,1099.86
01-08-2021,5,04:15 - 04:30,4184.1,16601.3,3981.3,3981.3,1400.04,1400.04
01-08-2021,5,04:30 - 04:45,4243.9,16325.5,3890.5,3890.5,1401.92,1401.92
01-08-2021,5,04:45 - 05:00,4293,16111.5,3926.5,3926.5,1402.07,1402.07
01-08-2021,6,05:00 - 05:15,4554.6,15332.9,3917.9,3917.9,1405.66,1405.66
01-08-2021,6,05:15 - 05:30,4806.4,15749.8,3870.8,3870.8,1451.41,1451.41
01-08-2021,6,05:30 - 05:45,5269.8,16109.1,4204.8,4204.8,1777.94,1777.94
01-08-2021,6,05:45 - 06:00,5775.1,16603.4,4662,4662,1964.63,1964.63
01-08-2021,7,06:00 - 06:15,6363.7,17953.9,5528.2,5528.2,1964.84,1964.84
01-08-2021,7,06:15 - 06:30,6891.6,18789.8,6056.1,6056.1,1977.32,1977.32
01-08-2021,7,06:30 - 06:45,7339.8,19380.1,6504.3,6504.3,1999.2,1999.2
01-08-2021,7,06:45 - 07:00,7729.3,19790.9,6843.7,6843.7,2010.96,2010.96
01-08-2021,8,07:00 - 07:15,7956.4,20415.6,7112.3,7112.3,1999.78,1999.78
01-08-2021,8,07:15 - 07:30,8013.6,20418.8,7169.5,7169.5,1999.94,1999.94
01-08-2021,8,07:30 - 07:45,7888.7,19978,7022.1,7022.1,2000.81,2000.81
01-08-2021,8,07:45 - 08:00,7742.5,20023.6,6899.8,6899.8,1999.65,1999.65
