date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-12-2021,1,00:00 - 00:15,5868.6,12722.7,5195.41,5195.41,2000.88,2000.88
01-12-2021,1,00:15 - 00:30,5940,13575.7,5312.7,5312.7,1999.99,1999.99
01-12-2021,1,00:30 - 00:45,5885.1,14326.7,5257.7,5257.7,1999.83,1999.83
01-12-2021,1,00:45 - 01:00,5910.4,15201.6,5282.8,5282.8,1999.66,1999.66
01-12-2021,2,01:00 - 01:15,6022.3,15578.7,5260.5,5260.5,1999.55,1999.55
01-12-2021,2,01:15 - 01:30,6012.3,15818.2,5250.9,5250.9,1999.39,1999.39
01-12-2021,2,01:30 - 01:45,5955.2,16152.3,5194.2,5194.2,1999.2,1999.2
01-12-2021,2,01:45 - 02:00,5952.6,16294.3,5191.8,5191.8,1999.08,1999.08
01-12-2021,3,02:00 - 02:15,5919.8,16302.6,5158.4,5158.4,1999.01,1999.01
01-12-2021,3,02:15 - 02:30,5919.6,16453.6,5158.1,5158.1,1987.57,1987.57
01-12-2021,3,02:30 - 02:45,5867,16868.6,5179.5,5179.5,1799.07,1799.07
01-12-2021,3,02:45 - 03:00,5846.2,16908.7,5161.7,5161.7,1724.89,1724.89
01-12-2021,4,03:00 - 03:15,5777.9,16955.6,5098.9,5098.9,1724.54,1724.54
01-12-2021,4,03:15 - 03:30,5752.9,16978.6,5073.5,5073.5,1724.5,1724.5
01-12-2021,4,03:30 - 03:45,5814.1,16918.8,5134.6,5134.6,1724.66,1724.66
01-12-2021,4,03:45 - 04:00,5796.7,16978.7,5117.8,5117.8,1724.37,1724.37
01-12-2021,5,04:00 - 04:15,6038.1,17436.4,5347.4,5347.4,1724.64,1724.64
01-12-2021,5,04:15 - 04:30,6166.1,16894.4,5397.9,5397.9,1999.02,1999.02
01-12-2021,5,04:30 - 04:45,6489.9,15913.9,5722.19,5722.19,1999.4,1999.4
01-12-2021,5,04:45 - 05:00,6769,14897.1,5901.8,5901.8,1999.79,1999.79
01-12-2021,6,05:00 - 05:15,6127.3,12498.7,5406.9,5406.9,2000.55,2000.55
01-12-2021,6,05:15 - 05:30,6169.4,11358.2,5264,5264,2187.1,2187.1
01-12-2021,6,05:30 - 05:45,6204.1,10119.6,5237.3,5237.3,2555.75,2555.75
01-12-2021,6,05:45 - 06:00,6275.1,9439.1,5208.9,5208.9,2555.77,2555.77
01-12-2021,7,06:00 - 06:15,6970.7,9030,6104.91,6104.91,2899.6,2899.6
01-12-2021,7,06:15 - 06:30,7876.6,8832.8,6827.86,6827.86,3400.86,3400.86
01-12-2021,7,06:30 - 06:45,8959,8572.5,7037.8,7037.8,3979.77,3979.77
01-12-2021,7,06:45 - 07:00,9764.4,8637.6,7250.4,7250.4,4200.23,4200.23
01-12-2021,8,07:00 - 07:15,10670.2,9513.2,8147.9,8147.9,4151.62,4151.62
01-12-2021,8,07:15 - 07:30,11532.4,10141.7,8776.4,8776.4,4409.41,4409.41
01-12-2021,8,07:30 - 07:45,11768.3,10323.7,8988.2,8988.2,4499.07,4499.07
01-12-2021,8,07:45 - 08:00,12703,10438.4,9312.1,9312.1,5502.79,5502.79
01-12-2021,9,08:00 - 08:15,12488.1,11129.5,9883.2,9883.2,4750.79,4750.79
01-12-2021,9,08:15 - 08:30,12556.3,11679.9,10166.1,10166.1,4400.75,4400.75
01-12-2021,9,08:30 - 08:45,11907.6,12263.9,10419.1,10419.1,3599.34,3599.34
01-12-2021,9,08:45 - 09:00,11850.3,12401.4,10348.92,10348.92,3500.96,3500.96
01-12-2021,10,09:00 - 09:15,11941.9,12685.3,10414.58,10414.58,3353.24,3353.24
01-12-2021,10,09:15 - 09:30,12089.7,12986.4,10515.8,10515.8,3400.56,3400.56
01-12-2021,10,09:30 - 09:45,11975.7,13050.5,10269.27,10269.27,3500.43,3500.43
01-12-2021,10,09:45 - 10:00,11604.9,12954.2,9987.2,9987.2,3519.18,3519.18
01-12-2021,11,10:00 - 10:15,11094.1,12197.7,9300.19,9300.19,3500.54,3500.54
01-12-2021,11,10:15 - 10:30,11004,12343.2,9322.5,9322.5,3462.24,3462.24
01-12-2021,11,10:30 - 10:45,10746.8,12230.1,9164.1,9164.1,3491.78,3491.78
01-12-2021,11,10:45 - 11:00,10405.5,12452.2,9080.1,9080.1,3150.23,3150.23
01-12-2021,12,11:00 - 11:15,9414.2,12343.1,8240.7,8240.7,3043.63,3043.63
01-12-2021,12,11:15 - 11:30,9056.4,12104.6,7884.5,7884.5,3043.62,3043.62
01-12-2021,12,11:30 - 11:45,8813.6,11793.1,7531.45,7531.45,3100.34,3100.34
01-12-2021,12,11:45 - 12:00,8970.1,11972.4,7667.9,7667.9,3100.47,3100.47
01-12-2021,13,12:00 - 12:15,8694.7,12521,7510.5,7510.5,3043.35,3043.35
01-12-2021,13,12:15 - 12:30,8488.7,12985,7668.6,7668.6,2930.04,2930.04
01-12-2021,13,12:30 - 12:45,7986.7,13867.7,7528.5,7528.5,2695.65,2695.65
01-12-2021,13,12:45 - 13:00,7802.8,14812.6,7376.8,7376.8,2555.32,2555.32
01-12-2021,14,13:00 - 13:15,6495.3,15859.4,6168.6,6168.6,1999.74,1999.74
01-12-2021,14,13:15 - 13:30,6176.1,16079.2,5849.4,5849.4,1999.37,1999.37
01-12-2021,14,13:30 - 13:45,6646.6,15929.8,6319.9,6319.9,1999.94,1999.94
01-12-2021,14,13:45 - 14:00,6571.2,16309.4,6244.5,6244.5,1999.87,1999.87
01-12-2021,15,14:00 - 14:15,6829.9,16065.5,6492.7,6492.7,2187.13,2187.13
01-12-2021,15,14:15 - 14:30,7013.5,15803.4,6676.3,6676.3,2187.81,2187.81
01-12-2021,15,14:30 - 14:45,7188.5,15877.4,6831.8,6831.8,2321.07,2321.07
01-12-2021,15,14:45 - 15:00,7464.2,15457.5,7070.6,7070.6,2405,2405
01-12-2021,16,15:00 - 15:15,7074.1,13881.7,6753.9,6753.9,2579.97,2579.97
01-12-2021,16,15:15 - 15:30,7360.1,13106.4,7006.1,7006.1,2695.3,2695.3
01-12-2021,16,15:30 - 15:45,7733.9,12438.9,7342.2,7342.2,2749.37,2749.37
01-12-2021,16,15:45 - 16:00,7902.6,11962.5,7299,7299,2843.19,2843.19
01-12-2021,17,16:00 - 16:15,7743.6,11186.3,6978.5,6978.5,2815.44,2815.44
01-12-2021,17,16:15 - 16:30,8229.2,11023.1,7345.57,7345.57,3000.01,3000.01
01-12-2021,17,16:30 - 16:45,9123.6,11111.3,7797.7,7797.7,3199.77,3199.77
01-12-2021,17,16:45 - 17:00,9372.8,10819.4,8018.57,8018.57,3400.38,3400.38
01-12-2021,18,17:00 - 17:15,8969.3,10062.7,7345.77,7345.77,3301,3301
01-12-2021,18,17:15 - 17:30,9132.1,9075.5,7138.4,7138.4,3748.87,3748.87
01-12-2021,18,17:30 - 17:45,9773.9,9144.9,7536.9,7536.9,5500.05,5500.05
01-12-2021,18,17:45 - 18:00,10229.7,9136.9,7499.4,7499.4,5503.96,5503.96
01-12-2021,19,18:00 - 18:15,10486,9333.3,7428.9,7428.9,5505.15,5505.15
01-12-2021,19,18:15 - 18:30,11159.1,9220.8,7543.26,7543.26,6043.59,6043.59
01-12-2021,19,18:30 - 18:45,10856.4,9213.1,7524.7,7524.7,5507.67,5507.67
01-12-2021,19,18:45 - 19:00,10011.3,9286.6,7542.4,7542.4,5300.2,5300.2
01-12-2021,20,19:00 - 19:15,8563.1,9254,7321.8,7321.8,4151.14,4151.14
01-12-2021,20,19:15 - 19:30,8030.2,9167.8,7034.5,7034.5,3808.98,3808.98
01-12-2021,20,19:30 - 19:45,7644.4,9284.2,6794.6,6794.6,3643.31,3643.31
01-12-2021,20,19:45 - 20:00,7153,9260.3,6415.6,6415.6,3565.64,3565.64
01-12-2021,21,20:00 - 20:15,6790.9,9927.1,6327.8,6327.8,3100.09,3100.09
01-12-2021,21,20:15 - 20:30,6465.9,9522.4,5963.9,5963.9,3119.31,3119.31
01-12-2021,21,20:30 - 20:45,6164.5,9811.7,5722.1,5722.1,3029.8,3029.8
01-12-2021,21,20:45 - 21:00,6010.1,10048.8,5604.3,5604.3,2905.53,2905.53
01-12-2021,22,21:00 - 21:15,6083.6,10120.4,5604.7,5604.7,2821.31,2821.31
