Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-02-2021,1,00:00 - 00:15,5134.7,13384.2,3692.5,3692.5,2305.51,2305.51
01-02-2021,1,00:15 - 00:30,5195.1,14174.2,3690.6,3690.6,2260.2,2260.2
01-02-2021,1,00:30 - 00:45,5086.4,15020.2,3845.5,3845.5,2249.88,2249.88
01-02-2021,1,00:45 - 01:00,5100.8,15664.2,4014.6,4014.6,2100.95,2100.95
01-02-2021,2,01:00 - 01:15,5476.3,17088.9,4459.1,4459.1,2049.63,2049.63
01-02-2021,2,01:15 - 01:30,5733.5,17806.9,4755,4755,1999.66,1999.66
01-02-2021,2,01:30 - 01:45,5883.4,17922.9,4922.3,4922.3,2000.58,2000.58
01-02-2021,2,01:45 - 02:00,5807.1,18631.9,4869.2,4869.2,1987.86,1987.86
01-02-2021,3,02:00 - 02:15,5786.9,18775.9,4854,4854,1987.5,1987.5
01-02-2021,3,02:15 - 02:30,5860.7,18837.9,4927.8,4927.8,1987.48,1987.48
01-02-2021,3,02:30 - 02:45,5978.4,19084.9,4996,4996,1987.01,1987.01
01-02-2021,3,02:45 - 03:00,5951.2,19179.5,4980.3,4980.3,1916.75,1916.75
01-02-2021,4,03:00 - 03:15,5986.6,19336,5015.2,5015.2,1916.5,1916.5
01-02-2021,4,03:15 - 03:30,6081.3,19361,5109.9,5109.9,1916.64,1916.64
01-02-2021,4,03:30 - 03:45,6108.7,19384,5137.3,5137.3,1916.62,1916.62
01-02-2021,4,03:45 - 04:00,5987,19473,5015.6,5015.6,1916.23,1916.23
01-02-2021,5,04:00 - 04:15,5844.6,19520,4871.2,4871.2,1907.71,1907.71
01-02-2021,5,04:15 - 04:30,6143.9,19027,5153.1,5153.1,1999.04,1999.04
01-02-2021,5,04:30 - 04:45,6331.9,18955,5113.7,5113.7,2099.84,2099.84
01-02-2021,5,04:45 - 05:00,6322,18795.4,4982.7,4982.7,2201.6,2201.6
01-02-2021,6,05:00 - 05:15,6884.6,17801.9,5293.9,5293.9,2305.5,2305.5
01-02-2021,6,05:15 - 05:30,7383.4,16733.8,5718.8,5718.8,2407.35,2407.35
01-02-2021,6,05:30 - 05:45,7866,15966.8,6176.6,6176.6,2600.79,2600.79
01-02-2021,6,05:45 - 06:00,8323.1,15088.9,6606.7,6606.7,2799.63,2799.63
01-02-2021,7,06:00 - 06:15,9513.8,13536.7,7706.2,7706.2,2829.2,2829.2
01-02-2021,7,06:15 - 06:30,11528.6,12954.7,9447.33,9447.34,3100.37,3100.37
01-02-2021,7,06:30 - 06:45,12688.6,12310.1,10361.2,10361.2,3500.03,3500.03
01-02-2021,7,06:45 - 07:00,13904.4,12146.7,10497.8,10497.8,3500.68,3500.68
01-02-2021,8,07:00 - 07:15,13531.4,12004.8,10745.5,10745.5,3500.17,3500.17
01-02-2021,8,07:15 - 07:30,14236.6,11262.5,10568.8,10568.8,4100.72,4100.72
01-02-2021,8,07:30 - 07:45,13756.6,10659,10166,10166,4855.35,4855.35
01-02-2021,8,07:45 - 08:00,14069.1,10001.2,9927,9927,5899.92,5899.92
01-02-2021,9,08:00 - 08:15,14493.2,9725,9685,9685,6000.56,6000.56
01-02-2021,9,08:15 - 08:30,14253,9175.4,9175.4,9175.4,7050.57,7050.57
01-02-2021,9,08:30 - 08:45,14010.8,8770.7,8770.7,8770.7,7050.86,7050.86
01-02-2021,9,08:45 - 09:00,13690.4,8416.1,8416.1,8416.1,8000.24,8000.24
01-02-2021,10,09:00 - 09:15,13899.9,8785.9,8785.9,8785.9,7000.95,7000.95
01-02-2021,10,09:15 - 09:30,14057.6,8649.7,8649.7,8649.7,7050.66,7050.66
01-02-2021,10,09:30 - 09:45,14628.5,8533.2,8533.2,8533.2,7050.48,7050.48
01-02-2021,10,09:45 - 10:00,14876.2,8656.2,8656.2,8656.2,7000.66,7000.66
01-02-2021,11,10:00 - 10:15,14496.3,8950.2,8940.2,8940.2,6844.81,6844.81
01-02-2021,11,10:15 - 10:30,14872.2,8873.1,8863.1,8863.1,6866.93,6866.93
01-02-2021,11,10:30 - 10:45,14717.4,8809.9,8799.9,8799.9,6634.59,6634.59
01-02-2021,11,10:45 - 11:00,14188.2,8435.5,8425.5,8425.5,6583.42,6583.42
01-02-2021,12,11:00 - 11:15,13156.6,8697.4,8685.4,8685.4,5989.8,5989.8
01-02-2021,12,11:15 - 11:30,12257.1,8337.2,8193.5,8193.5,4991.6,4991.6
01-02-2021,12,11:30 - 11:45,11947.6,8281.3,7990.98,7990.98,4877.23,4877.23
01-02-2021,12,11:45 - 12:00,11768.8,8458.1,7694.4,7694.4,4300.72,4300.72
01-02-2021,13,12:00 - 12:15,10693.6,8856.8,7571.7,7571.7,3649.11,3649.11
