date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-01-2021,1,00:00 - 00:15,5757.4,13513,4262.7,4262.7,2301.03,2301.03
01-01-2021,1,00:15 - 00:30,5877.1,14487.5,4592.7,4592.7,2300.12,2300.12
01-01-2021,1,00:30 - 00:45,5926.4,15368.5,4679.5,4679.5,2298.1,2298.1
01-01-2021,1,00:45 - 01:00,5956.8,16043.9,4763.1,4763.1,2243.24,2243.24
01-01-2021,2,01:00 - 01:15,6330.8,17019,5225.8,5225.8,2131.71,2131.71
01-01-2021,2,01:15 - 01:30,6199.5,17714,5137.8,5137.8,2106.41,2106.41
01-01-2021,2,01:30 - 01:45,6263.7,18285,5239.2,5239.2,2100.3,2100.3
01-01-2021,2,01:45 - 02:00,6247.6,18885.9,5268.7,5268.7,2050.43,2050.43
01-01-2021,3,02:00 - 02:15,6275.3,19057,5306.1,5306.1,2015.74,2015.74
01-01-2021,3,02:15 - 02:30,6356.9,19143.1,5387.7,5387.7,2015.56,2015.56
01-01-2021,3,02:30 - 02:45,6210.8,19290.1,5279.2,5279.2,2000.5,2000.5
01-01-2021,3,02:45 - 03:00,6233.3,19339,5285.1,5285.1,2000.97,2000.97
01-01-2021,4,03:00 - 03:15,6309.9,19338.9,5351.3,5351.3,2009.21,2009.21
01-01-2021,4,03:15 - 03:30,6407.5,19382.5,5448.9,5448.9,2009.08,2009.08
01-01-2021,4,03:30 - 03:45,6530.2,19379.5,5565.5,5565.5,2015.15,2015.15
01-01-2021,4,03:45 - 04:00,6443.9,19461.5,5521.2,5521.2,1999.85,1999.85
01-01-2021,5,04:00 - 04:15,6692.8,19847.6,5770.5,5770.5,1999.28,1999.28
01-01-2021,5,04:15 - 04:30,6752.4,19373.6,5770.1,5770.1,2050.54,2050.54
01-01-2021,5,04:30 - 04:45,6960.9,19616.1,5998,5998,2015.89,2015.89
01-01-2021,5,04:45 - 05:00,7359.9,19320.5,6359.4,6359.4,2089.19,2089.19
01-01-2021,6,05:00 - 05:15,7872.3,17740.1,6354.2,6354.2,2301.15,2301.15
01-01-2021,6,05:15 - 05:30,8290.3,16593.3,6223,6223,2303.05,2303.05
01-01-2021,6,05:30 - 05:45,8285.7,16109.3,6552.1,6552.1,2302.09,2302.09
01-01-2021,6,05:45 - 06:00,8230.9,15622.7,6903.4,6903.4,2300.27,2300.27
01-01-2021,7,06:00 - 06:15,8754.9,14077.1,7812.8,7812.8,2718.06,2718.06
01-01-2021,7,06:15 - 06:30,9448.5,14110.4,8506.4,8506.4,2718.91,2718.91
01-01-2021,7,06:30 - 06:45,9980.8,12895.9,8806,8806,2809.56,2809.56
01-01-2021,7,06:45 - 07:00,10922.8,12697.5,9527,9527,2962.71,2962.71
01-01-2021,8,07:00 - 07:15,12009.4,12377.4,10325,10325,3089.69,3089.69
01-01-2021,8,07:15 - 07:30,12893.7,11278.3,10562.8,10562.8,3711.7,3711.7
01-01-2021,8,07:30 - 07:45,13821.8,10787.5,10576.4,10576.4,4500.46,4500.46
01-01-2021,8,07:45 - 08:00,14469.3,10194.7,10054.6,10054.6,5700.17,5700.17
01-01-2021,9,08:00 - 08:15,15119.4,9855.3,9759.3,9759.3,5700.48,5700.48
01-01-2021,9,08:15 - 08:30,15391.5,9171.4,9075.4,9075.4,5700.96,5700.96
01-01-2021,9,08:30 - 08:45,15341.5,8872.7,8776.7,8776.7,6000.87,6000.87
01-01-2021,9,08:45 - 09:00,14872.2,8667.5,8571.5,8571.5,6000.87,6000.87
01-01-2021,10,09:00 - 09:15,14670.4,8339.7,8336.7,8336.7,6900.07,6900.07
01-01-2021,10,09:15 - 09:30,14281.7,8329.4,8233.4,8233.4,6000.99,6000.99
01-01-2021,10,09:30 - 09:45,14477.7,8550.9,8454.9,8454.9,6000.81,6000.81
01-01-2021,10,09:45 - 10:00,14965.5,8491.8,8395.8,8395.8,6000.73,6000.73
01-01-2021,11,10:00 - 10:15,14362.6,8617.6,8521.6,8521.6,6000.11,6000.11
01-01-2021,11,10:15 - 10:30,14127.5,8494.3,8398.3,8398.3,5900.12,5900.12
01-01-2021,11,10:30 - 10:45,13723.4,8562.4,8466.4,8466.4,5000.78,5000.78
01-01-2021,11,10:45 - 11:00,13303.4,8447.2,8351.2,8351.2,5000.55,5000.55
01-01-2021,12,11:00 - 11:15,12994.7,8662.4,8089.4,8089.4,4500.61,4500.61
01-01-2021,12,11:15 - 11:30,12792.5,8346.1,7773.1,7773.1,4500.7,4500.7
01-01-2021,12,11:30 - 11:45,11983.5,7644.8,7471.8,7471.8,4500.72,4500.72
01-01-2021,12,11:45 - 12:00,11514.7,7698.3,7525.3,7525.3,4500.23,4500.23
01-01-2021,13,12:00 - 12:15,10154.9,7752.5,7494.2,7494.2,4000.1,4000.1
01-01-2021,13,12:15 - 12:30,10188,7851.6,7593.3,7593.3,4000.68,4000.68
01-01-2021,13,12:30 - 12:45,9699.3,7919.9,7552.64,7552.64,3747.28,3747.28
01-01-2021,13,12:45 - 13:00,9299.8,7988.4,7199.7,7199.7,3660.88,3660.88
01-01-2021,14,13:00 - 13:15,8408.9,8823.3,6936.5,6936.5,3033.6,3033.6
01-01-2021,14,13:15 - 13:30,8184.4,9475.1,6816.9,6816.9,2989.86,2989.86
01-01-2021,14,13:30 - 13:45,8173.1,10034.4,6813.9,6813.9,2989.74,2989.74
01-01-2021,14,13:45 - 14:00,8177.1,10528.5,6817.9,6817.9,2989.28,2989.28
01-01-2021,15,14:00 - 14:15,8368.8,11223.2,7238.4,7238.4,2989.57,2989.57
01-01-2021,15,14:15 - 14:30,8430.1,11236.4,7301,7301,2962.33,2962.33
01-01-2021,15,14:30 - 14:45,8742.6,11788.5,7637.8,7637.8,2942.99,2942.99
01-01-2021,15,14:45 - 15:00,8961,12830.2,7881.4,7881.4,2900.69,2900.69
01-01-2021,16,15:00 - 15:15,9057.7,12216.3,8029.7,8029.7,2809.91,2809.91
01-01-2021,16,15:15 - 15:30,9330.6,12201.4,8302.6,8302.6,2809.97,2809.97
