date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-07-2021,1,00:00 - 00:15,9854.8,7523.6,7464.1,7464.1,6999.04,6999.04
01-07-2021,1,00:15 - 00:30,9703.8,7432.4,7362.9,7362.9,6964.85,6964.85
01-07-2021,1,00:30 - 00:45,9162.9,7488.4,7117.1,7117.1,6492.24,6492.24
01-07-2021,1,00:45 - 01:00,8836.6,7518.4,7022.4,7022.4,5749.58,5749.58
01-07-2021,2,01:00 - 01:15,8166.4,7640.6,6822.6,6822.6,4929.73,4929.73
01-07-2021,2,01:15 - 01:30,7796.7,7778.6,6574.7,6574.7,4475.64,4475.64
01-07-2021,2,01:30 - 01:45,7374.3,7924.6,6164.6,6164.6,3989.46,3989.46
01-07-2021,2,01:45 - 02:00,7238.2,8081.6,6033,6033,3780.05,3780.05
01-07-2021,3,02:00 - 02:15,6649.7,7640,5515.3,5515.3,3448.97,3448.97
01-07-2021,3,02:15 - 02:30,6651.7,7677.3,5517.5,5517.5,3464.14,3464.14
01-07-2021,3,02:30 - 02:45,6388.2,7806.3,5286.2,5286.2,3104.63,3104.63
01-07-2021,3,02:45 - 03:00,6391.3,7905.3,5289.1,5289.1,3104.2,3104.2
01-07-2021,4,03:00 - 03:15,6351.5,8217.1,5265.7,5265.7,3029.46,3029.46
01-07-2021,4,03:15 - 03:30,6202.2,8355.4,5152.9,5152.9,2989.56,2989.56
01-07-2021,4,03:30 - 03:45,6060.7,8504.4,5046.5,5046.5,2878.78,2878.78
01-07-2021,4,03:45 - 04:00,5704.1,8696.5,4708.8,4708.8,2721.6,2721.6
01-07-2021,5,04:00 - 04:15,6063.4,8839.5,5054,5054,2806.17,2806.17
01-07-2021,5,04:15 - 04:30,6147.9,8612.5,5138.3,5138.3,2811.57,2811.57
01-07-2021,5,04:30 - 04:45,6232.9,8399.9,5224.2,5224.2,2878.62,2878.62
01-07-2021,5,04:45 - 05:00,6371.4,8131.4,5345.2,5345.2,2900.46,2900.46
01-07-2021,6,05:00 - 05:15,6172,8347.8,4970.81,4970.81,2739.33,2739.33
01-07-2021,6,05:15 - 05:30,5931.1,8211.9,4785.3,4785.3,2739.18,2739.18
01-07-2021,6,05:30 - 05:45,6128.7,8196.7,4854.6,4854.6,2806.8,2806.8
01-07-2021,6,05:45 - 06:00,6384.1,8292.7,5082.5,5082.5,2900.15,2900.15
