date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-06-2021,1,00:00 - 00:15,8222.1,7809.9,6673.93,6673.93,3999.89,3999.89
01-06-2021,1,00:15 - 00:30,7970.5,8036.5,6432.2,6432.2,3984.42,3984.42
01-06-2021,1,00:30 - 00:45,7771.5,8231,6339.4,6339.4,3649.47,3649.47
01-06-2021,1,00:45 - 01:00,7367.7,8404.4,5957.2,5957.2,3249.46,3249.46
01-06-2021,2,01:00 - 01:15,7402.3,8382.2,5996.1,5996.1,3249.69,3249.69
01-06-2021,2,01:15 - 01:30,7233.3,8652.2,5827.3,5827.3,3239.05,3239.05
01-06-2021,2,01:30 - 01:45,7292.7,8799,5902.4,5902.4,3159.9,3159.9
01-06-2021,2,01:45 - 02:00,7206.1,8968.2,5795.81,5795.81,3099.76,3099.76
01-06-2021,3,02:00 - 02:15,7150.7,9171.4,5779.1,5779.1,3049.86,3049.86
01-06-2021,3,02:15 - 02:30,7284.1,9261.1,5910.1,5910.1,3070.4,3070.4
01-06-2021,3,02:30 - 02:45,6853,9329.9,5550.71,5550.71,3029.65,3029.65
01-06-2021,3,02:45 - 03:00,6693.8,9473.2,5508.4,5508.4,2992.7,2992.7
01-06-2021,4,03:00 - 03:15,6294.3,9470.8,5241.3,5241.3,2959.29,2959.29
01-06-2021,4,03:15 - 03:30,6390.9,9589.8,5337.9,5337.9,2959.29,2959.29
01-06-2021,4,03:30 - 03:45,6361.5,9780.9,5369.3,5369.3,2879.64,2879.64
01-06-2021,4,03:45 - 04:00,6449.9,9968.7,5457,5457,2879,2879
01-06-2021,5,04:00 - 04:15,6375.1,9874.9,5302.9,5302.9,2750.54,2750.54
01-06-2021,5,04:15 - 04:30,6577.9,9711.6,5390.53,5390.53,2879.34,2879.34
01-06-2021,5,04:30 - 04:45,6701,9613.3,5506.3,5506.3,2900.01,2900.01
01-06-2021,5,04:45 - 05:00,6932.1,9673.3,5669.61,5669.61,2909.43,2909.43
01-06-2021,6,05:00 - 05:15,7109,10644.5,6144.68,6144.68,2800.87,2800.87
01-06-2021,6,05:15 - 05:30,7820.7,11159.2,6785.2,6785.2,2959.57,2959.57
01-06-2021,6,05:30 - 05:45,7846,11866.6,6876.7,6876.7,2829.76,2829.76
01-06-2021,6,05:45 - 06:00,8061,12279,7120.2,7120.2,2749.03,2749.03
01-06-2021,7,06:00 - 06:15,8146.5,12812.8,7626.6,7626.6,2739.7,2739.7
01-06-2021,7,06:15 - 06:30,8344.4,13316.6,7824.5,7824.5,2739.28,2739.28
01-06-2021,7,06:30 - 06:45,8393.3,14068.8,7879.3,7879.3,2733.8,2733.8
01-06-2021,7,06:45 - 07:00,8166.7,14653,7779.8,7779.8,2639.65,2639.65
01-06-2021,8,07:00 - 07:15,7765.4,15127.6,7393.6,7393.6,2558.6,2558.6
01-06-2021,8,07:15 - 07:30,7508.5,15730.3,7139.2,7139.2,2499.99,2499.99
01-06-2021,8,07:30 - 07:45,7012,15783.4,6642.7,6642.7,2401.95,2401.95
01-06-2021,8,07:45 - 08:00,6610.7,15328.4,6242.6,6242.6,2249.99,2249.99
01-06-2021,9,08:00 - 08:15,6404.1,15159.5,6048,6048,2044.06,2044.06
01-06-2021,9,08:15 - 08:30,6169.1,14727.5,5802.4,5802.4,2378.82,2378.82
01-06-2021,9,08:30 - 08:45,5716.9,14345.8,5349,5349,2401.57,2401.57
01-06-2021,9,08:45 - 09:00,5331.5,13898.1,4964.8,4964.8,2378.8,2378.8
01-06-2021,10,09:00 - 09:15,5461.8,13658.9,5071.8,5071.8,2409.15,2409.15
01-06-2021,10,09:15 - 09:30,5627.1,13378.7,5237.1,5237.1,2409.97,2409.97
01-06-2021,10,09:30 - 09:45,5473.8,12926.3,5083.8,5083.8,2409.6,2409.6
01-06-2021,10,09:45 - 10:00,5219.5,12222.8,4829.5,4829.5,2409.33,2409.33
01-06-2021,11,10:00 - 10:15,5028.1,12541.9,4623.8,4623.8,2378.96,2378.96
01-06-2021,11,10:15 - 10:30,5009.4,12540.6,4605.1,4605.1,2378.95,2378.95
01-06-2021,11,10:30 - 10:45,4874.8,12350.9,4470.5,4470.5,2378.43,2378.43
01-06-2021,11,10:45 - 11:00,5047.7,12485.3,4641.7,4641.7,2409.2,2409.2
01-06-2021,12,11:00 - 11:15,5148.5,12609,4710.7,4710.7,2489.64,2489.64
01-06-2021,12,11:15 - 11:30,5344.3,12624.5,4906.5,4906.5,2499.4,2499.4
01-06-2021,12,11:30 - 11:45,5435.5,12716.7,4984.4,4984.4,2592.5,2592.5
01-06-2021,12,11:45 - 12:00,5629.2,12649.1,5166.9,5166.9,2609.8,2609.8
01-06-2021,13,12:00 - 12:15,5835.7,12632.5,5371,5371,2609.3,2609.3
01-06-2021,13,12:15 - 12:30,6141.8,12091,5572.1,5572.1,2689.4,2689.4
01-06-2021,13,12:30 - 12:45,6189,11865,5614.14,5614.14,2700.2,2700.2
01-06-2021,13,12:45 - 13:00,6164.2,11638.2,5578.7,5578.7,2720.04,2720.04
01-06-2021,14,13:00 - 13:15,6118.4,12031.3,5571.35,5571.35,2650.73,2650.73
01-06-2021,14,13:15 - 13:30,6218.5,12448.7,5641.9,5641.9,2699.85,2699.85
01-06-2021,14,13:30 - 13:45,6572.1,12808.8,5945.1,5945.1,2749.07,2749.07
01-06-2021,14,13:45 - 14:00,6936.7,13089.1,6296.25,6296.25,2800.49,2800.49
01-06-2021,15,14:00 - 14:15,7059.3,12486.8,6416.1,6416.1,2818.85,2818.85
01-06-2021,15,14:15 - 14:30,7330.7,12706.8,6687.5,6687.5,2818.82,2818.82
01-06-2021,15,14:30 - 14:45,7680.1,12872.5,7036.7,7036.7,2818.4,2818.4
01-06-2021,15,14:45 - 15:00,8067.8,13179,7424.4,7424.4,2818.67,2818.67
01-06-2021,16,15:00 - 15:15,8034.9,13066.1,7394.8,7394.8,2818.34,2818.34
01-06-2021,16,15:15 - 15:30,8386.3,13850.1,7746.2,7746.2,2818.27,2818.27
01-06-2021,16,15:30 - 15:45,8629.8,14187,8016.5,8016.5,2749.45,2749.45
01-06-2021,16,15:45 - 16:00,8596.2,14739.8,7982.9,7982.9,2733.74,2733.74
01-06-2021,17,16:00 - 16:15,8691,14761.8,8089.8,8089.8,2733.56,2733.56
01-06-2021,17,16:15 - 16:30,8493.5,14824.2,8040.1,8040.1,2639.54,2639.54
01-06-2021,17,16:30 - 16:45,8345.4,15245.8,7917,7917,2609.1,2609.1
01-06-2021,17,16:45 - 17:00,8172.5,15102,7760.6,7760.6,2558.89,2558.89
01-06-2021,18,17:00 - 17:15,7907.2,15268.1,7508.1,7508.1,2558.74,2558.74
01-06-2021,18,17:15 - 17:30,7635.6,15023.7,7236.5,7236.5,2558.51,2558.51
01-06-2021,18,17:30 - 17:45,7355.8,14558.4,6956.7,6956.7,2558.62,2558.62
01-06-2021,18,17:45 - 18:00,7090.2,14379.3,6691.1,6691.1,2558.24,2558.24
01-06-2021,19,18:00 - 18:15,6025.6,14165,5697.8,5697.8,2489.23,2489.23
01-06-2021,19,18:15 - 18:30,6132.3,13423,5803.5,5803.5,2558.12,2558.12
01-06-2021,19,18:30 - 18:45,6622.4,12341.8,6187.6,6187.6,2624.95,2624.95
01-06-2021,19,18:45 - 19:00,6827.7,11804.4,6277.2,6277.2,2739.42,2739.42
01-06-2021,20,19:00 - 19:15,6549.1,9423.3,5931.9,5931.9,2959.86,2959.86
01-06-2021,20,19:15 - 19:30,6765.6,9242.5,6148.4,6148.4,2992.74,2992.74
01-06-2021,20,19:30 - 19:45,6775,8913.5,6144,6144,3029.08,3029.08
01-06-2021,20,19:45 - 20:00,6994.9,8487.2,6327.2,6327.2,3239.85,3239.85
01-06-2021,21,20:00 - 20:15,6600.2,7856.8,5925.7,5925.7,3249.09,3249.09
01-06-2021,21,20:15 - 20:30,6810.9,7803.6,6136.4,6136.4,3249.63,3249.63
01-06-2021,21,20:30 - 20:45,6767.2,7836.4,6092.7,6092.7,3249.66,3249.66
01-06-2021,21,20:45 - 21:00,6925.6,7783.4,6251.1,6251.1,3289.78,3289.78
01-06-2021,22,21:00 - 21:15,7904.1,7626.5,6784,6784,3999.62,3999.62
01-06-2021,22,21:15 - 21:30,8390,7608.5,7110.1,7110.1,4499.98,4499.98
01-06-2021,22,21:30 - 21:45,9340.6,7605.6,7453.8,7453.8,5017.8,5017.8
01-06-2021,22,21:45 - 22:00,9291.6,7470.1,7333.1,7333.1,5190.33,5190.33
01-06-2021,23,22:00 - 22:15,9746.8,7336.7,7248.7,7248.7,5811.64,5811.64
01-06-2021,23,22:15 - 22:30,9934.9,7129.9,7074.9,7074.9,5999.44,5999.44
01-06-2021,23,22:30 - 22:45,9829.9,6966.8,6953.8,6953.8,7118.7,7118.7
01-06-2021,23,22:45 - 23:00,9595.8,6946.5,6933.5,6933.5,7114.21,7114.21
01-06-2021,24,23:00 - 23:15,9556.1,6940.5,6927.5,6927.5,6887.56,6887.56
01-06-2021,24,23:15 - 23:30,9867.9,6764.2,6751.2,6751.2,7190.75,7190.75
01-06-2021,24,23:30 - 23:45,9882.5,6733.2,6720.2,6720.2,7192.66,7192.66
01-06-2021,24,23:45 - 24:00,9562.8,6682.7,6669.7,6669.7,7163.1,7163.1
02-06-2021,1,00:00 - 00:15,8366.9,8614.3,6366.1,6366.1,3249.38,3249.38
02-06-2021,1,00:15 - 00:30,8294.7,8710.1,6293.9,6293.9,3249.34,3249.34
02-06-2021,1,00:30 - 00:45,8222.9,8876.6,6222.3,6222.3,3249.21,3249.21
02-06-2021,1,00:45 - 01:00,8236.7,9047.9,6241.4,6241.4,3249.03,3249.03
02-06-2021,2,01:00 - 01:15,8233,9235,6277.85,6277.85,3141.07,3141.07
02-06-2021,2,01:15 - 01:30,8190,9464.2,6358.53,6358.53,3070.61,3070.61
02-06-2021,2,01:30 - 01:45,8174,9692.5,6357.9,6357.9,3049.56,3049.56
02-06-2021,2,01:45 - 02:00,8062.1,10008.3,6246.6,6246.6,3029.74,3029.74
02-06-2021,3,02:00 - 02:15,7993.8,10101.9,6281.6,6281.6,3006.41,3006.41
02-06-2021,3,02:15 - 02:30,8003.7,10192.5,6293.05,6293.05,3000.99,3000.99
02-06-2021,3,02:30 - 02:45,7724.9,10315.5,6333.4,6333.4,2992.11,2992.11
02-06-2021,3,02:45 - 03:00,7707.4,10423,6330.3,6330.3,2947.7,2947.7
02-06-2021,4,03:00 - 03:15,7442.2,10336.4,6158,6158,2900.47,2900.47
02-06-2021,4,03:15 - 03:30,7516.5,10435.4,6180.3,6180.3,2900.79,2900.79
02-06-2021,4,03:30 - 03:45,7671.6,10751.4,6374.3,6374.3,2900.55,2900.55
02-06-2021,4,03:45 - 04:00,7906.6,10920.4,6476.6,6476.6,2900.74,2900.74
02-06-2021,5,04:00 - 04:15,7789.5,11548.4,6404.11,6404.11,2720.67,2720.67
02-06-2021,5,04:15 - 04:30,8076.6,11391.8,6576.7,6576.7,2830,2830
02-06-2021,5,04:30 - 04:45,8252.8,11411,6679.2,6679.2,2900.47,2900.47
02-06-2021,5,04:45 - 05:00,8501.7,11559.6,6899.3,6899.3,2900.63,2900.63
02-06-2021,6,05:00 - 05:15,8915.2,12459,7270.2,7270.2,2800.85,2800.85
02-06-2021,6,05:15 - 05:30,9302.9,12932.7,7628.7,7628.7,2818.31,2818.31
02-06-2021,6,05:30 - 05:45,9776.7,13365,8100,8100,2818.07,2818.07
02-06-2021,6,05:45 - 06:00,10001.9,13916.3,8559.6,8559.6,2749.54,2749.54
02-06-2021,7,06:00 - 06:15,9973.5,13945.8,8847.5,8847.5,2773.27,2773.27
02-06-2021,7,06:15 - 06:30,10156.1,14345.4,9132.7,9132.7,2739.73,2739.73
02-06-2021,7,06:30 - 06:45,10163.6,15005.2,9146.1,9146.1,2736.57,2736.57
02-06-2021,7,06:45 - 07:00,9907.4,15598.2,8918.6,8918.6,2639.28,2639.28
02-06-2021,8,07:00 - 07:15,9865.1,16255.3,8889.9,8889.9,2558.82,2558.82
02-06-2021,8,07:15 - 07:30,9658.8,16771.2,8683.6,8683.6,2558.55,2558.55
02-06-2021,8,07:30 - 07:45,9207.4,16159,8220,8220,2522.48,2522.48
02-06-2021,8,07:45 - 08:00,8635.5,15769.8,7650.6,7650.6,2387.6,2387.6
02-06-2021,9,08:00 - 08:15,8574.6,15482.2,7509.9,7509.9,2223.04,2223.04
02-06-2021,9,08:15 - 08:30,8510,15060.5,7434.9,7434.9,2366.45,2366.45
02-06-2021,9,08:30 - 08:45,8566.3,14607.3,7485.5,7485.5,2558.05,2558.05
02-06-2021,9,08:45 - 09:00,8436.1,14179.6,7110.5,7110.5,2689.43,2689.43
02-06-2021,10,09:00 - 09:15,8495.3,13651.9,7145.4,7145.4,2773.15,2773.15
02-06-2021,10,09:15 - 09:30,8704.1,13359.6,7325.4,7325.4,2818.11,2818.11
02-06-2021,10,09:30 - 09:45,8714.9,13159.9,7337,7337,2818.33,2818.33
02-06-2021,10,09:45 - 10:00,8428.9,12842.3,7074.3,7074.3,2779.95,2779.95
02-06-2021,11,10:00 - 10:15,8154.1,13133.7,6728.3,6728.3,2731.79,2731.79
02-06-2021,11,10:15 - 10:30,8336.8,12966.1,6907.4,6907.4,2749.89,2749.89
02-06-2021,11,10:30 - 10:45,8087.8,12879.2,6658.5,6658.5,2739.71,2739.71
02-06-2021,11,10:45 - 11:00,8148.3,12951.8,6719,6719,2739.54,2739.54
02-06-2021,12,11:00 - 11:15,8279.9,12819.4,6756.3,6756.3,2749.92,2749.92
02-06-2021,12,11:15 - 11:30,8437.2,12829.8,6887.1,6887.1,2806.18,2806.18
02-06-2021,12,11:30 - 11:45,8179.3,12978.6,6752.8,6752.8,2765.31,2765.31
02-06-2021,12,11:45 - 12:00,8276.6,12941.1,6845.3,6845.3,2773.89,2773.89
02-06-2021,13,12:00 - 12:15,7938.9,12711,6365.8,6365.8,2731.78,2731.78
02-06-2021,13,12:15 - 12:30,8156.4,12212.1,6577.2,6577.2,2779.41,2779.41
02-06-2021,13,12:30 - 12:45,8303.1,11970.6,6700.8,6700.8,2818.25,2818.25
02-06-2021,13,12:45 - 13:00,8197.5,11836.5,6595.2,6595.2,2818.11,2818.11
02-06-2021,14,13:00 - 13:15,7714.7,11982.7,6392.5,6392.5,2720.99,2720.99
02-06-2021,14,13:15 - 13:30,8075.3,11979.5,6713.7,6713.7,2773.99,2773.99
02-06-2021,14,13:30 - 13:45,8785.9,11686.2,7355.9,7355.9,2909.25,2909.25
02-06-2021,14,13:45 - 14:00,9288,11751.4,7751.9,7751.9,3092.41,3092.41
02-06-2021,15,14:00 - 14:15,9217,11059.3,7624.3,7624.3,3099.45,3099.45
02-06-2021,15,14:15 - 14:30,9567.6,10878.3,8023.2,8023.2,3248.77,3248.77
02-06-2021,15,14:30 - 14:45,9697.2,11066.9,8157.7,8157.7,3248.77,3248.77
02-06-2021,15,14:45 - 15:00,10025.8,11318.6,8485.9,8485.9,3249.11,3249.11
02-06-2021,16,15:00 - 15:15,9760.7,10922.1,8206.4,8206.4,3249.31,3249.31
02-06-2021,16,15:15 - 15:30,9873.9,11611,8322.7,8322.7,3234.62,3234.62
02-06-2021,16,15:30 - 15:45,9881.6,12285.3,8330.6,8330.6,3213.59,3213.59
02-06-2021,16,15:45 - 16:00,9879.7,12898.9,8339.1,8339.1,3159.25,3159.25
02-06-2021,17,16:00 - 16:15,10143.2,13459.3,8703.5,8703.5,3091.11,3091.11
02-06-2021,17,16:15 - 16:30,10144.2,13980.5,8871.1,8871.1,2818.89,2818.89
02-06-2021,17,16:30 - 16:45,9680.6,14861.9,8447.4,8447.4,2749.39,2749.39
02-06-2021,17,16:45 - 17:00,9411.3,15232.3,8273.1,8273.1,2739.07,2739.07
02-06-2021,18,17:00 - 17:15,8501.4,14924.9,7439.2,7439.2,2689.87,2689.87
02-06-2021,18,17:15 - 17:30,8482.7,14611.6,7422.4,7422.4,2662.81,2662.81
02-06-2021,18,17:30 - 17:45,7947.5,13939.3,6892.1,6892.1,2609.55,2609.55
02-06-2021,18,17:45 - 18:00,7607.6,13716,6752.2,6752.2,2609.43,2609.43
02-06-2021,19,18:00 - 18:15,6667.5,13699.2,6049.6,6049.6,2558.87,2558.87
02-06-2021,19,18:15 - 18:30,6661.8,12969.8,5931.1,5931.1,2639.14,2639.14
02-06-2021,19,18:30 - 18:45,7329.1,11897.6,6474.4,6474.4,2900.06,2900.06
02-06-2021,19,18:45 - 19:00,7602.1,11191.3,6697,6697,2976.23,2976.23
02-06-2021,20,19:00 - 19:15,8313.6,9170.9,6953.2,6953.2,3248.85,3248.85
02-06-2021,20,19:15 - 19:30,8397.2,8918.5,7036.8,7036.8,3249.57,3249.57
02-06-2021,20,19:30 - 19:45,8413.5,8694.8,7058.1,7058.1,3249.97,3249.97
02-06-2021,20,19:45 - 20:00,8675.7,8538.8,7214.2,7214.2,3500.85,3500.85
02-06-2021,21,20:00 - 20:15,8393.2,7955,6788.8,6788.8,3700.22,3700.22
02-06-2021,21,20:15 - 20:30,8340.9,7868,6701.8,6701.8,3700.28,3700.28
02-06-2021,21,20:30 - 20:45,8658.6,7901.7,6710.5,6710.5,3800.17,3800.17
02-06-2021,21,20:45 - 21:00,8638.7,7958.5,6767.3,6767.3,3850.12,3850.12
02-06-2021,22,21:00 - 21:15,9432.5,7814.8,7249,7249,4500.56,4500.56
02-06-2021,22,21:15 - 21:30,9845.6,7924.2,7645.63,7645.63,4699.67,4699.67
02-06-2021,22,21:30 - 21:45,9910.8,7906.2,7668.88,7668.88,4989.17,4989.17
02-06-2021,22,21:45 - 22:00,9890.2,7874.6,7660.41,7660.41,4989.94,4989.94
02-06-2021,23,22:00 - 22:15,9991.2,7607.7,7550.2,7550.2,6500.27,6500.27
