date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-05-2021,1,00:00 - 00:15,9518.1,7993.1,7838.6,7838.6,5444.25,5444.25
01-05-2021,1,00:15 - 00:30,9235.4,7950.7,7566.4,7566.4,4999.35,4999.35
01-05-2021,1,00:30 - 00:45,8643.1,7814.7,6977.3,6977.3,4550.94,4550.94
01-05-2021,1,00:45 - 01:00,8418.5,7531.6,6748.6,6748.6,4612.17,4612.17
01-05-2021,2,01:00 - 01:15,8300.1,7463.5,6541.7,6541.7,4529.8,4529.8
01-05-2021,2,01:15 - 01:30,7794.1,7462.8,6078.2,6078.2,4342.41,4342.41
01-05-2021,2,01:30 - 01:45,7477.9,7513.6,5919.6,5919.6,3700.05,3700.05
01-05-2021,2,01:45 - 02:00,7275.9,7567.4,5758.3,5758.3,3448.58,3448.58
01-05-2021,3,02:00 - 02:15,7157,8128.7,5723.3,5723.3,3479.96,3479.96
01-05-2021,3,02:15 - 02:30,7200.1,8384.6,5766.4,5766.4,3499.08,3499.08
01-05-2021,3,02:30 - 02:45,6794,8554.2,5369.9,5369.9,3399.16,3399.16
01-05-2021,3,02:45 - 03:00,6695.8,8664,5271.7,5271.7,3396.06,3396.06
01-05-2021,4,03:00 - 03:15,7008,8868.7,5580,5580,3400.68,3400.68
01-05-2021,4,03:15 - 03:30,7039.8,9001.5,5635.8,5635.8,3200.86,3200.86
01-05-2021,4,03:30 - 03:45,6911.8,9152.3,5568.4,5568.4,3049.64,3049.64
01-05-2021,4,03:45 - 04:00,6761.4,9345.2,5579.5,5579.5,3000.04,3000.04
01-05-2021,5,04:00 - 04:15,6949.5,9551,5700.9,5700.9,3049.69,3049.69
01-05-2021,5,04:15 - 04:30,7201.5,9435.7,5868.9,5868.9,3447.14,3447.14
01-05-2021,5,04:30 - 04:45,7370.7,9305.6,5912.7,5912.7,3557.27,3557.27
01-05-2021,5,04:45 - 05:00,7515.6,9281.6,5919.7,5919.7,3557.81,3557.81
01-05-2021,6,05:00 - 05:15,7627.7,9854.6,6229,6229,3488.6,3488.6
01-05-2021,6,05:15 - 05:30,8092.1,10260.2,6672.6,6672.6,3557.07,3557.07
01-05-2021,6,05:30 - 05:45,8326.4,10782.1,6846.1,6846.1,3479.1,3479.1
01-05-2021,6,05:45 - 06:00,8123.1,11253.8,6876.5,6876.5,3270.14,3270.14
01-05-2021,7,06:00 - 06:15,8174.1,12043.1,7665.3,7665.3,3249.06,3249.06
01-05-2021,7,06:15 - 06:30,8850.1,12551.6,8247,8247,3426.88,3426.88
01-05-2021,7,06:30 - 06:45,8918.3,13565.3,8395.5,8395.5,3244.22,3244.22
01-05-2021,7,06:45 - 07:00,8955,13937,8453,8453,3049.07,3049.07
01-05-2021,8,07:00 - 07:15,8335,14173.2,7975.7,7975.7,2881.24,2881.24
01-05-2021,8,07:15 - 07:30,8153.8,14935.1,7807.9,7807.9,2781.11,2781.11
01-05-2021,8,07:30 - 07:45,7802.6,15251.3,7457.2,7457.2,2745.55,2745.55
01-05-2021,8,07:45 - 08:00,7563.1,14862.4,7217.7,7217.7,2742,2742
01-05-2021,9,08:00 - 08:15,7183,15516.6,6797.6,6797.6,2574.63,2574.63
01-05-2021,9,08:15 - 08:30,7142.1,15241.2,6699.2,6699.2,2741.32,2741.32
01-05-2021,9,08:30 - 08:45,6997.6,15016.5,6554.2,6554.2,2748.17,2748.17
01-05-2021,9,08:45 - 09:00,6839.6,14510,6318.2,6318.2,2989.46,2989.46
