date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
01-11-2021,1,00:00 - 00:15,5779,15597.1,5384.1,5384.1,1999.39,1999.39,,
01-11-2021,1,00:15 - 00:30,5750.8,15574.1,5355.7,5355.7,1999.45,1999.45,,
01-11-2021,1,00:30 - 00:45,5739.4,15828.1,5344.8,5344.8,1999.2,1999.2,,
01-11-2021,1,00:45 - 01:00,5660.9,15898.8,5266,5266,1998.93,1998.93,,
01-11-2021,2,01:00 - 01:15,5849.2,16023.8,5454.5,5454.5,1999.11,1999.11,,
01-11-2021,2,01:15 - 01:30,5799.5,16080.8,5405.2,5405.2,1998.66,1998.66,,
01-11-2021,2,01:30 - 01:45,5742.4,16243.7,5348.6,5348.6,1979.08,1979.08,,
01-11-2021,2,01:45 - 02:00,5699.9,16208.6,5306.5,5306.5,1998.29,1998.29,,
01-11-2021,3,02:00 - 02:15,5766.5,16352.6,5372.3,5372.3,1998.57,1998.57,,
01-11-2021,3,02:15 - 02:30,5788.6,16151.6,5394.09,5394.09,1999.17,1999.17,,
01-11-2021,3,02:30 - 02:45,5620.8,16312.8,5226.4,5226.4,1998.37,1998.37,,
01-11-2021,3,02:45 - 03:00,5590.3,16516.8,5195.4,5195.4,1970.18,1970.18,,
01-11-2021,4,03:00 - 03:15,5583.2,16509.8,5201,5201,1970.41,1970.41,,
01-11-2021,4,03:15 - 03:30,5559.1,16637.8,5234.2,5234.2,1713.97,1713.97,,
01-11-2021,4,03:30 - 03:45,5607.4,16716.8,5282.8,5282.8,1713.83,1713.83,,
01-11-2021,4,03:45 - 04:00,5496.9,16792.2,5172.5,5172.5,1713.07,1713.07,,
01-11-2021,5,04:00 - 04:15,5503.8,16889.3,5175.7,5175.7,1710.9,1710.9,,
01-11-2021,5,04:15 - 04:30,5492.3,16203.3,5107,5107,1979.59,1979.59,,
01-11-2021,5,04:30 - 04:45,5462.7,15901.3,5122.2,5122.2,1799.55,1799.55,,
01-11-2021,5,04:45 - 05:00,5540,14974.9,5155.6,5155.6,1989.17,1989.17,,
01-11-2021,6,05:00 - 05:15,6374,13872.3,5649.3,5649.3,2188.84,2188.84,,
01-11-2021,6,05:15 - 05:30,6641.2,13157.9,5784.5,5784.5,2393.5,2393.5,,
01-11-2021,6,05:30 - 05:45,7695.8,13310.6,6410.8,6410.8,2692.64,2692.64,,
01-11-2021,6,05:45 - 06:00,8020.3,13075.5,6584.9,6584.9,2800.88,2800.88,,
01-11-2021,7,06:00 - 06:15,9562,13394.3,7905.7,7905.7,2947.31,2947.31,,
01-11-2021,7,06:15 - 06:30,10820.4,13355.9,9035.1,9035.1,3010.51,3010.51,,
