date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-10-2021,1,00:00 - 00:15,13508.5,10476.1,9826.87,9826.87,6999.51,6999.51
01-10-2021,1,00:15 - 00:30,13432.7,10513,9863.77,9863.77,6999.41,6999.41
01-10-2021,1,00:30 - 00:45,13408.5,10563,9863.77,9863.77,6999.43,6999.43
01-10-2021,1,00:45 - 01:00,12986.4,10619.7,9781.33,9781.33,5989.32,5989.32
01-10-2021,2,01:00 - 01:15,12985.2,10483.1,9698.67,9698.67,6999.11,6999.11
01-10-2021,2,01:15 - 01:30,12568.9,10524.1,9360.67,9360.67,5922.54,5922.54
01-10-2021,2,01:30 - 01:45,12499,10555.4,9300.3,9300.3,5922.02,5922.02
01-10-2021,2,01:45 - 02:00,12057.3,10596.4,8914.6,8914.6,4579.01,4579.01
01-10-2021,3,02:00 - 02:15,12550.7,10455.5,9209.5,9209.5,5021.94,5021.94
01-10-2021,3,02:15 - 02:30,12496.9,10433.5,9219.7,9219.7,5922.05,5922.05
01-10-2021,3,02:30 - 02:45,12270.5,10376.7,8929.2,8929.2,5021.58,5021.58
01-10-2021,3,02:45 - 03:00,12155,10351.8,8803.6,8803.6,5021.22,5021.22
01-10-2021,4,03:00 - 03:15,11923.7,10281.2,8631.6,8631.6,4989.93,4989.93
01-10-2021,4,03:15 - 03:30,11830.7,10301.2,8540,8540,4621.49,4621.49
01-10-2021,4,03:30 - 03:45,11800.1,10096.4,8624.2,8624.2,5021.58,5021.58
01-10-2021,4,03:45 - 04:00,11677.7,10136.5,8537.1,8537.1,5021.13,5021.13
01-10-2021,5,04:00 - 04:15,11787.9,10551.6,8795.6,8795.6,4672.73,4672.73
01-10-2021,5,04:15 - 04:30,11731.7,10375.2,8739.1,8739.1,4999.89,4999.89
01-10-2021,5,04:30 - 04:45,11622.5,10255.3,8681,8681,5021.22,5021.22
01-10-2021,5,04:45 - 05:00,11679.8,10158.2,8801.9,8801.9,5021.98,5021.98
01-10-2021,6,05:00 - 05:15,12917.7,9750.2,9005.06,9005.06,6520.31,6520.31
01-10-2021,6,05:15 - 05:30,13300.1,10174.3,9429.16,9429.16,6520.23,6520.23
01-10-2021,6,05:30 - 05:45,13504.2,10826.7,10081.53,10081.53,6500.69,6500.69
01-10-2021,6,05:45 - 06:00,13846.4,11379.4,10555.3,10555.3,5999.24,5999.24
01-10-2021,7,06:00 - 06:15,14489.9,12135.1,10905.4,10905.4,5922.35,5922.35
01-10-2021,7,06:15 - 06:30,14885.2,12341.9,11221.5,11221.5,5922.55,5922.55
01-10-2021,7,06:30 - 06:45,15438.3,12218.6,11369.93,11369.93,6500.24,6500.24
01-10-2021,7,06:45 - 07:00,15141,12827,11322.41,11322.41,5000.4,5000.4
01-10-2021,8,07:00 - 07:15,15037.3,12634.5,11102.2,11102.2,5021.04,5021.04
01-10-2021,8,07:15 - 07:30,14857.1,12799.6,11041.7,11041.7,4579.06,4579.06
01-10-2021,8,07:30 - 07:45,14653.9,12950.6,10984.2,10984.2,4049.92,4049.92
01-10-2021,8,07:45 - 08:00,14418.7,13098.9,10947.5,10947.5,3759.65,3759.65
01-10-2021,9,08:00 - 08:15,13985,13723.5,11072.21,11072.21,3850.09,3850.09
01-10-2021,9,08:15 - 08:30,13808.3,13963.9,10941.7,10941.7,3739.26,3739.26
01-10-2021,9,08:30 - 08:45,13550.8,14376.7,10948.58,10948.58,3500.7,3500.7
01-10-2021,9,08:45 - 09:00,13627.3,14729.4,11179.17,11179.17,3420.23,3420.23
01-10-2021,10,09:00 - 09:15,13747.2,14527.1,10945.18,10945.18,3490.78,3490.78
01-10-2021,10,09:15 - 09:30,13981.6,14422.9,10906,10906,3546.91,3546.91
01-10-2021,10,09:30 - 09:45,14215.2,14258.8,11085.4,11085.4,3739.51,3739.51
01-10-2021,10,09:45 - 10:00,13771.3,14044.1,10970.3,10970.3,3759.26,3759.26
01-10-2021,11,10:00 - 10:15,13200.3,13882.8,10320.38,10320.38,3500.14,3500.14
01-10-2021,11,10:15 - 10:30,12962.5,13942.9,10104.1,10104.1,3421.45,3421.45
01-10-2021,11,10:30 - 10:45,12863.1,14004.1,10005.5,10005.5,3421.41,3421.41
01-10-2021,11,10:45 - 11:00,12979,14121.4,10120.5,10120.5,3421.45,3421.45
01-10-2021,12,11:00 - 11:15,12308.6,14950.5,9972.6,9972.6,3299.21,3299.21
01-10-2021,12,11:15 - 11:30,12336.1,15104.5,10001.3,10001.3,3279.41,3279.41
01-10-2021,12,11:30 - 11:45,12333.5,15144.4,9999.2,9999.2,3279.58,3279.58
01-10-2021,12,11:45 - 12:00,12410.6,15275.5,10075.7,10075.7,3279.46,3279.46
01-10-2021,13,12:00 - 12:15,11539.4,15492.3,9276.6,9276.6,3149.37,3149.37
01-10-2021,13,12:15 - 12:30,11241.5,15495.2,8988.5,8988.5,3109.12,3109.12
01-10-2021,13,12:30 - 12:45,11067.8,15378,8913.7,8913.7,3136.14,3136.14
01-10-2021,13,12:45 - 13:00,11189.2,15205.3,9026.1,9026.1,3149.12,3149.12
01-10-2021,14,13:00 - 13:15,10617.5,14901.3,8520.8,8520.8,3041.76,3041.76
01-10-2021,14,13:15 - 13:30,10630.2,15356.7,8666,8666,2980.33,2980.33
01-10-2021,14,13:30 - 13:45,11598.2,15138.3,9272.1,9272.1,3136.18,3136.18
01-10-2021,14,13:45 - 14:00,11847.9,14935.4,9524.7,9524.7,3136.75,3136.75
01-10-2021,15,14:00 - 14:15,12864.6,14750,10210.6,10210.6,3279.93,3279.93
01-10-2021,15,14:15 - 14:30,13373,14421.3,10642.8,10642.8,3410.49,3410.49
01-10-2021,15,14:30 - 14:45,14205.3,14112.3,11339,11339,3610.9,3610.9
01-10-2021,15,14:45 - 15:00,14862.5,13821.6,11649.19,11649.19,4500.25,4500.25
01-10-2021,16,15:00 - 15:15,15634.8,13553.1,11990.2,11990.2,5021.54,5021.54
01-10-2021,16,15:15 - 15:30,15710.8,13917.3,12107.3,12107.3,4989.59,4989.59
01-10-2021,16,15:30 - 15:45,16108.3,14237.4,12231.7,12231.7,4530,4530
01-10-2021,16,15:45 - 16:00,16335.4,14025.5,12403.9,12403.9,5021.3,5021.3
01-10-2021,17,16:00 - 16:15,16233,14000.9,12247.3,12247.3,4989.44,4989.44
01-10-2021,17,16:15 - 16:30,16462.5,13652.6,12199.31,12199.31,5000.72,5000.72
01-10-2021,17,16:30 - 16:45,16864.5,13637,12531.9,12531.9,5021.8,5021.8
01-10-2021,17,16:45 - 17:00,16840,12967.1,12455.37,12455.37,7003.4,7003.4
01-10-2021,18,17:00 - 17:15,17566.7,12721.6,12379.62,12379.62,8520.38,8520.38
01-10-2021,18,17:15 - 17:30,17787,12271.8,12014.02,12014.02,8520.49,8520.49
01-10-2021,18,17:30 - 17:45,18165.3,11606.1,11572.63,11572.63,12520.69,12520.69
01-10-2021,18,17:45 - 18:00,18116.2,10690.1,10658.83,10658.83,14001.16,14001.16
01-10-2021,19,18:00 - 18:15,17071.6,10425.4,10394.89,10394.89,14520.49,14520.49
01-10-2021,19,18:15 - 18:30,17720.1,9722,9722,9722,19999.06,19999.06
01-10-2021,19,18:30 - 18:45,18645.3,9242.7,9242.7,9242.7,19999.23,19999.23
01-10-2021,19,18:45 - 19:00,18975.2,9073.2,9073.2,9073.2,19999.26,19999.26
01-10-2021,20,19:00 - 19:15,19282.3,9325.5,9325.5,9325.5,19999.14,19999.14
01-10-2021,20,19:15 - 19:30,20242.5,9444.1,9444.1,9444.1,19999.13,19999.13
01-10-2021,20,19:30 - 19:45,20242,9545.4,9545.4,9545.4,19999.06,19999.06
01-10-2021,20,19:45 - 20:00,20062.6,9613.1,9613.1,9613.1,19999.01,19999.01
01-10-2021,21,20:00 - 20:15,19171.7,9708.5,9702.58,9702.58,16000.73,16000.73
01-10-2021,21,20:15 - 20:30,18925.8,9947.4,9930,9930,15000.71,15000.71
01-10-2021,21,20:30 - 20:45,18867.4,10107.3,10089.9,10089.9,15000.91,15000.91
01-10-2021,21,20:45 - 21:00,18952.2,10252.6,10236.68,10236.68,16000.03,16000.03
01-10-2021,22,21:00 - 21:15,18579.3,10577.6,10527.2,10527.2,14999.87,14999.87
01-10-2021,22,21:15 - 21:30,18392.3,10760.3,10481.43,10481.43,14000.71,14000.71
01-10-2021,22,21:30 - 21:45,18108.6,10879.4,10527.17,10527.17,12000.95,12000.95
01-10-2021,22,21:45 - 22:00,17607.1,10911.3,10559.07,10559.07,12000.34,12000.34
01-10-2021,23,22:00 - 22:15,16881.1,10629.8,10270.45,10270.45,11920.01,11920.01
01-10-2021,23,22:15 - 22:30,17017.6,10719.7,10254.9,10254.9,9789.55,9789.55
01-10-2021,23,22:30 - 22:45,16862.5,10962.3,10293.47,10293.47,6999.97,6999.97
01-10-2021,23,22:45 - 23:00,16514.8,11042.6,10373.77,10373.77,6999.39,6999.39
01-10-2021,24,23:00 - 23:15,17199.3,11149.1,10566.75,10566.75,8000.65,8000.65
01-10-2021,24,23:15 - 23:30,16926.2,11123.5,10434.67,10434.67,6999.85,6999.85
01-10-2021,24,23:30 - 23:45,16535.6,11275.1,10546.27,10546.27,6999.53,6999.53
01-10-2021,24,23:45 - 24:00,16290.8,11268.8,10539.97,10539.97,6999.03,6999.03
02-10-2021,1,00:00 - 00:15,15956.4,9702.9,9411.82,9411.82,8520.53,8520.53
02-10-2021,1,00:15 - 00:30,15993.1,9788.9,9497.82,9497.82,8520.6,8520.6
02-10-2021,1,00:30 - 00:45,16056,9847.9,9556.82,9556.82,8520.7,8520.7
02-10-2021,1,00:45 - 01:00,15762.4,9790.6,9499.52,9499.52,8520.59,8520.59
02-10-2021,2,01:00 - 01:15,16041.5,9303.7,8918.32,8918.32,8520.98,8520.98
02-10-2021,2,01:15 - 01:30,15843.4,9292.8,8907.42,8907.42,8520.94,8520.94
02-10-2021,2,01:30 - 01:45,16012.9,9326.8,8941.42,8941.42,8520.98,8520.98
02-10-2021,2,01:45 - 02:00,15592.3,9365.1,8978.63,8978.63,7600.95,7600.95
02-10-2021,3,02:00 - 02:15,15401,9200.6,8835.19,8835.19,8500.06,8500.06
02-10-2021,3,02:15 - 02:30,15298.9,9257.5,8892.11,8892.11,8520.65,8520.65
02-10-2021,3,02:30 - 02:45,15067.2,9188.3,8821.73,8821.73,7520.6,7520.6
02-10-2021,3,02:45 - 03:00,14722.2,9255.3,8888.73,8888.73,7520.47,7520.47
02-10-2021,4,03:00 - 03:15,14597.1,9350.5,9013.93,9013.93,7520.28,7520.28
02-10-2021,4,03:15 - 03:30,14104.3,9384.6,9048.03,9048.03,7520.11,7520.11
02-10-2021,4,03:30 - 03:45,13986.9,9359.5,9022.93,9022.93,7520.21,7520.21
02-10-2021,4,03:45 - 04:00,13604.9,9370.4,9033.83,9033.83,7520.1,7520.1
02-10-2021,5,04:00 - 04:15,13330.9,9338.5,8982.93,8982.93,7520.15,7520.15
02-10-2021,5,04:15 - 04:30,13360.1,9424.6,9069.03,9069.03,7520.13,7520.13
02-10-2021,5,04:30 - 04:45,13446.3,9266.5,8910.93,8910.93,7520.24,7520.24
02-10-2021,5,04:45 - 05:00,13944.9,9252.5,8896.93,8896.93,7520.53,7520.53
02-10-2021,6,05:00 - 05:15,14244.6,8825,8495.9,8495.9,9520.9,9520.9
02-10-2021,6,05:15 - 05:30,14467.2,9560.1,9231,9231,9520.58,9520.58
02-10-2021,6,05:30 - 05:45,14798.5,9944.9,9615.8,9615.8,9520.5,9520.5
02-10-2021,6,05:45 - 06:00,15183.1,10509.7,10179.98,10179.98,9000.48,9000.48
02-10-2021,7,06:00 - 06:15,16115.6,11293,10924.61,10924.61,8520.32,8520.32
02-10-2021,7,06:15 - 06:30,16945.1,11663.2,11083.01,11083.01,8520.61,8520.61
02-10-2021,7,06:30 - 06:45,17573.2,12310.1,11616.91,11616.91,8520.4,8520.4
02-10-2021,7,06:45 - 07:00,17463.2,12703.6,11785.11,11785.11,8520.23,8520.23
02-10-2021,8,07:00 - 07:15,17081.9,12842.2,11662.05,11662.05,6520.18,6520.18
02-10-2021,8,07:15 - 07:30,16735.6,12867.8,11587.64,11587.64,6520.12,6520.12
02-10-2021,8,07:30 - 07:45,16103,12839.7,11206.9,11206.9,5922.64,5922.64
02-10-2021,8,07:45 - 08:00,15334,13280.1,10773.55,10773.55,5000.63,5000.63
02-10-2021,9,08:00 - 08:15,13712.2,12838.8,10038,10038,4529.3,4529.3
02-10-2021,9,08:15 - 08:30,13215.8,12848.1,9900.97,9900.97,4000.63,4000.63
02-10-2021,9,08:30 - 08:45,13011.1,13011.4,9989.5,9989.5,3999.25,3999.25
02-10-2021,9,08:45 - 09:00,12402.5,12857.9,9639.6,9639.6,3798.42,3798.42
02-10-2021,10,09:00 - 09:15,12187.2,13713.6,9770,9770,3249.64,3249.64
02-10-2021,10,09:15 - 09:30,12025.8,13517,9557.9,9557.9,3355.45,3355.45
02-10-2021,10,09:30 - 09:45,12167.8,13150.9,9588.8,9588.8,3410.67,3410.67
02-10-2021,10,09:45 - 10:00,11950.3,12824,9371.3,9371.3,3410.93,3410.93
02-10-2021,11,10:00 - 10:15,11610.7,12359.9,8877.6,8877.6,3410.61,3410.61
02-10-2021,11,10:15 - 10:30,11358.3,12008,8725.2,8725.2,3410.74,3410.74
02-10-2021,11,10:30 - 10:45,10971.4,12226.8,8738.3,8738.3,3410.64,3410.64
02-10-2021,11,10:45 - 11:00,11001.9,12289.9,8768.8,8768.8,3410.72,3410.72
02-10-2021,12,11:00 - 11:15,10948.7,12610.8,8737.1,8737.1,3410.15,3410.15
