date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
01-09-2021,1,00:00 - 00:15,14604.2,15692.6,12999.33,12999.33,3400.63,3400.63
01-09-2021,1,00:15 - 00:30,14740.3,15535.6,12922.3,12922.3,3619.62,3619.62
01-09-2021,1,00:30 - 00:45,14623.6,15425.9,12792.5,12792.5,3747.37,3747.37
01-09-2021,1,00:45 - 01:00,14525.8,15505.8,12775.4,12775.4,3500.85,3500.85
01-09-2021,2,01:00 - 01:15,14556.5,15458.2,12752.8,12752.8,3603.34,3603.34
01-09-2021,2,01:15 - 01:30,14468.0,15519.0,12713.4,12713.4,3500.15,3500.15
01-09-2021,2,01:30 - 01:45,14482.7,15511.4,12680.8,12680.8,3548.27,3548.27
01-09-2021,2,01:45 - 02:00,14113.0,15579.0,12512.8,12512.8,3249.72,3249.72
01-09-2021,3,02:00 - 02:15,14094.8,15541.7,12469.5,12469.5,3548.26,3548.26
01-09-2021,3,02:15 - 02:30,14069.4,15669.7,12489.9,12489.9,3600.09,3600.09
01-09-2021,3,02:30 - 02:45,13614.9,15275.7,12051.4,12051.4,3409.97,3409.97
01-09-2021,3,02:45 - 03:00,13474.1,15027.8,11804.0,11804.0,3603.12,3603.12
01-09-2021,4,03:00 - 03:15,13405.6,15115.9,11768.2,11768.2,3600.31,3600.31
01-09-2021,4,03:15 - 03:30,13044.0,14961.9,11494.2,11494.2,3409.82,3409.82
01-09-2021,4,03:30 - 03:45,13030.4,14762.0,11403.29,11403.29,3600.78,3600.78
01-09-2021,4,03:45 - 04:00,12837.4,14821.5,11350.8,11350.8,3409.19,3409.19
01-09-2021,5,04:00 - 04:15,13060.8,15035.6,11497.8,11497.8,3105.6,3105.6
01-09-2021,5,04:15 - 04:30,13189.4,14757.7,11454.5,11454.5,3500.34,3500.34
01-09-2021,5,04:30 - 04:45,13509.2,14464.8,11680.3,11680.3,3648.7,3648.7
01-09-2021,5,04:45 - 05:00,13591.9,14365.8,11718.12,11718.12,3999.36,3999.36
01-09-2021,6,05:00 - 05:15,14123.2,14114.9,11661.3,11661.3,5000.46,5000.46
01-09-2021,6,05:15 - 05:30,14765.7,14141.9,11801.2,11801.2,5406.98,5406.98
01-09-2021,6,05:30 - 05:45,15273.2,14931.4,12807.1,12807.1,5659.83,5659.83
01-09-2021,6,05:45 - 06:00,15202.3,15611.8,12994.8,12994.8,3648.78,3648.78
01-09-2021,7,06:00 - 06:15,15477.4,16355.7,12931.7,12931.7,5691.77,5691.77
01-09-2021,7,06:15 - 06:30,15737.6,16339.7,12839.5,12839.5,5664.43,5664.43
01-09-2021,7,06:30 - 06:45,15948.3,16445.2,12869.5,12869.5,5500.77,5500.77
01-09-2021,7,06:45 - 07:00,15678.5,16739.3,12828.7,12828.7,4499.1,4499.1
01-09-2021,8,07:00 - 07:15,15596.6,17086.4,13111.0,13111.0,3989.61,3989.61
01-09-2021,8,07:15 - 07:30,15647.3,17032.5,13089.94,13089.94,4000.88,4000.88
01-09-2021,8,07:30 - 07:45,15242.1,17313.3,12971.1,12971.1,3648.05,3648.05
01-09-2021,8,07:45 - 08:00,15049.1,16978.6,12774.8,12774.8,3811.18,3811.18
01-09-2021,9,08:00 - 08:15,14091.5,15973.1,11697.1,11697.1,4049.17,4049.17
01-09-2021,9,08:15 - 08:30,14246.3,15746.2,11682.8,11682.8,4989.73,4989.73
01-09-2021,9,08:30 - 08:45,14071.2,15781.4,12450.6,12450.6,3347.68,3347.68
01-09-2021,9,08:45 - 09:00,14138.5,15553.8,12517.9,12517.9,3348.93,3348.93
01-09-2021,10,09:00 - 09:15,13443.5,14838.1,12055.7,12055.7,3307.99,3307.99
01-09-2021,10,09:15 - 09:30,13465.9,14370.7,11775.8,11775.8,3548.7,3548.7
01-09-2021,10,09:30 - 09:45,13506.7,14314.9,11846.3,11846.3,3603.57,3603.57
01-09-2021,10,09:45 - 10:00,13313.6,14622.5,11917.0,11917.0,3409.32,3409.32
01-09-2021,11,10:00 - 10:15,12731.7,14434.6,11348.6,11348.6,3072.95,3072.95
01-09-2021,11,10:15 - 10:30,13070.7,14171.6,11436.8,11436.8,3409.99,3409.99
01-09-2021,11,10:30 - 10:45,12907.3,13962.3,11276.0,11276.0,3600.66,3600.66
01-09-2021,11,10:45 - 11:00,12788.4,13576.2,11001.28,11001.28,3999.08,3999.08
01-09-2021,12,11:00 - 11:15,12761.3,13405.9,10840.3,10840.3,3999.75,3999.75
01-09-2021,12,11:15 - 11:30,12589.6,13315.8,10711.2,10711.2,3800.51,3800.51
01-09-2021,12,11:30 - 11:45,12676.5,13286.1,10720.01,10720.01,3999.71,3999.71
01-09-2021,12,11:45 - 12:00,12546.5,13176.6,10608.01,10608.01,3999.54,3999.54
01-09-2021,13,12:00 - 12:15,12609.8,13604.7,10905.5,10905.5,3600.51,3600.51
01-09-2021,13,12:15 - 12:30,12702.7,13544.6,10926.4,10926.4,3709.88,3709.88
01-09-2021,13,12:30 - 12:45,12724.6,13706.3,11082.2,11082.2,3500.52,3500.52
01-09-2021,13,12:45 - 13:00,12534.0,13769.6,11058.43,11058.43,3302.95,3302.95
