Date ,Hour,  Time,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
01-12-2021,1,00:00 - 00:15,5868.60,12722.70,5195.41,5195.41,2000.88,2000.88
01-12-2021,1,00:15 - 00:30,5940.00,13575.70,5312.70,5312.70,1999.99,1999.99
01-12-2021,1,00:30 - 00:45,5885.10,14326.70,5257.70,5257.70,1999.83,1999.83
01-12-2021,1,00:45 - 01:00,5910.40,15201.60,5282.80,5282.80,1999.66,1999.66
01-12-2021,2,01:00 - 01:15,6022.30,15578.70,5260.50,5260.50,1999.55,1999.55
01-12-2021,2,01:15 - 01:30,6012.30,15818.20,5250.90,5250.90,1999.39,1999.39
01-12-2021,2,01:30 - 01:45,5955.20,16152.30,5194.20,5194.20,1999.20,1999.20
01-12-2021,2,01:45 - 02:00,5952.60,16294.30,5191.80,5191.80,1999.08,1999.08
01-12-2021,3,02:00 - 02:15,5919.80,16302.60,5158.40,5158.40,1999.01,1999.01
01-12-2021,3,02:15 - 02:30,5919.60,16453.60,5158.10,5158.10,1987.57,1987.57
01-12-2021,3,02:30 - 02:45,5867.00,16868.60,5179.50,5179.50,1799.07,1799.07
01-12-2021,3,02:45 - 03:00,5846.20,16908.70,5161.70,5161.70,1724.89,1724.89
01-12-2021,4,03:00 - 03:15,5777.90,16955.60,5098.90,5098.90,1724.54,1724.54
01-12-2021,4,03:15 - 03:30,5752.90,16978.60,5073.50,5073.50,1724.50,1724.50
01-12-2021,4,03:30 - 03:45,5814.10,16918.80,5134.60,5134.60,1724.66,1724.66
01-12-2021,4,03:45 - 04:00,5796.70,16978.70,5117.80,5117.80,1724.37,1724.37
01-12-2021,5,04:00 - 04:15,6038.10,17436.40,5347.40,5347.40,1724.64,1724.64
01-12-2021,5,04:15 - 04:30,6166.10,16894.40,5397.90,5397.90,1999.02,1999.02
01-12-2021,5,04:30 - 04:45,6489.90,15913.90,5722.19,5722.19,1999.40,1999.40
01-12-2021,5,04:45 - 05:00,6769.00,14897.10,5901.80,5901.80,1999.79,1999.79
01-12-2021,6,05:00 - 05:15,6127.30,12498.70,5406.90,5406.90,2000.55,2000.55
01-12-2021,6,05:15 - 05:30,6169.40,11358.20,5264.00,5264.00,2187.10,2187.10
01-12-2021,6,05:30 - 05:45,6204.10,10119.60,5237.30,5237.30,2555.75,2555.75
01-12-2021,6,05:45 - 06:00,6275.10,9439.10,5208.90,5208.90,2555.77,2555.77
01-12-2021,7,06:00 - 06:15,6970.70,9030.00,6104.91,6104.91,2899.60,2899.60
01-12-2021,7,06:15 - 06:30,7876.60,8832.80,6827.86,6827.86,3400.86,3400.86
01-12-2021,7,06:30 - 06:45,8959.00,8572.50,7037.80,7037.80,3979.77,3979.77
01-12-2021,7,06:45 - 07:00,9764.40,8637.60,7250.40,7250.40,4200.23,4200.23
01-12-2021,8,07:00 - 07:15,10670.20,9513.20,8147.90,8147.90,4151.62,4151.62
01-12-2021,8,07:15 - 07:30,11532.40,10141.70,8776.40,8776.40,4409.41,4409.41
01-12-2021,8,07:30 - 07:45,11768.30,10323.70,8988.20,8988.20,4499.07,4499.07
01-12-2021,8,07:45 - 08:00,12703.00,10438.40,9312.10,9312.10,5502.79,5502.79
01-12-2021,9,08:00 - 08:15,12488.10,11129.50,9883.20,9883.20,4750.79,4750.79
01-12-2021,9,08:15 - 08:30,12556.30,11679.90,10166.10,10166.10,4400.75,4400.75
01-12-2021,9,08:30 - 08:45,11907.60,12263.90,10419.10,10419.10,3599.34,3599.34
01-12-2021,9,08:45 - 09:00,11850.30,12401.40,10348.92,10348.92,3500.96,3500.96
01-12-2021,10,09:00 - 09:15,11941.90,12685.30,10414.58,10414.58,3353.24,3353.24
01-12-2021,10,09:15 - 09:30,12089.70,12986.40,10515.80,10515.80,3400.56,3400.56
01-12-2021,10,09:30 - 09:45,11975.70,13050.50,10269.27,10269.27,3500.43,3500.43
01-12-2021,10,09:45 - 10:00,11604.90,12954.20,9987.20,9987.20,3519.18,3519.18
01-12-2021,11,10:00 - 10:15,11094.10,12197.70,9300.19,9300.19,3500.54,3500.54
01-12-2021,11,10:15 - 10:30,11004.00,12343.20,9322.50,9322.50,3462.24,3462.24
01-12-2021,11,10:30 - 10:45,10746.80,12230.10,9164.10,9164.10,3491.78,3491.78
01-12-2021,11,10:45 - 11:00,10405.50,12452.20,9080.10,9080.10,3150.23,3150.23
01-12-2021,12,11:00 - 11:15,9414.20,12343.10,8240.70,8240.70,3043.63,3043.63
01-12-2021,12,11:15 - 11:30,9056.40,12104.60,7884.50,7884.50,3043.62,3043.62
01-12-2021,12,11:30 - 11:45,8813.60,11793.10,7531.45,7531.45,3100.34,3100.34
01-12-2021,12,11:45 - 12:00,8970.10,11972.40,7667.90,7667.90,3100.47,3100.47
01-12-2021,13,12:00 - 12:15,8694.70,12521.00,7510.50,7510.50,3043.35,3043.35
01-12-2021,13,12:15 - 12:30,8488.70,12985.00,7668.60,7668.60,2930.04,2930.04
01-12-2021,13,12:30 - 12:45,7986.70,13867.70,7528.50,7528.50,2695.65,2695.65
01-12-2021,13,12:45 - 13:00,7802.80,14812.60,7376.80,7376.80,2555.32,2555.32
01-12-2021,14,13:00 - 13:15,6495.30,15859.40,6168.60,6168.60,1999.74,1999.74
01-12-2021,14,13:15 - 13:30,6176.10,16079.20,5849.40,5849.40,1999.37,1999.37
01-12-2021,14,13:30 - 13:45,6646.60,15929.80,6319.90,6319.90,1999.94,1999.94
01-12-2021,14,13:45 - 14:00,6571.20,16309.40,6244.50,6244.50,1999.87,1999.87
01-12-2021,15,14:00 - 14:15,6829.90,16065.50,6492.70,6492.70,2187.13,2187.13
01-12-2021,15,14:15 - 14:30,7013.50,15803.40,6676.30,6676.30,2187.81,2187.81
01-12-2021,15,14:30 - 14:45,7188.50,15877.40,6831.80,6831.80,2321.07,2321.07
01-12-2021,15,14:45 - 15:00,7464.20,15457.50,7070.60,7070.60,2405.00,2405.00
01-12-2021,16,15:00 - 15:15,7074.10,13881.70,6753.90,6753.90,2579.97,2579.97
01-12-2021,16,15:15 - 15:30,7360.10,13106.40,7006.10,7006.10,2695.30,2695.30
01-12-2021,16,15:30 - 15:45,7733.90,12438.90,7342.20,7342.20,2749.37,2749.37
01-12-2021,16,15:45 - 16:00,7902.60,11962.50,7299.00,7299.00,2843.19,2843.19
01-12-2021,17,16:00 - 16:15,7743.60,11186.30,6978.50,6978.50,2815.44,2815.44
01-12-2021,17,16:15 - 16:30,8229.20,11023.10,7345.57,7345.57,3000.01,3000.01
01-12-2021,17,16:30 - 16:45,9123.60,11111.30,7797.70,7797.70,3199.77,3199.77
01-12-2021,17,16:45 - 17:00,9372.80,10819.40,8018.57,8018.57,3400.38,3400.38
01-12-2021,18,17:00 - 17:15,8969.30,10062.70,7345.77,7345.77,3301.00,3301.00
01-12-2021,18,17:15 - 17:30,9132.10,9075.50,7138.40,7138.40,3748.87,3748.87
01-12-2021,18,17:30 - 17:45,9773.90,9144.90,7536.90,7536.90,5500.05,5500.05
01-12-2021,18,17:45 - 18:00,10229.70,9136.90,7499.40,7499.40,5503.96,5503.96
01-12-2021,19,18:00 - 18:15,10486.00,9333.30,7428.90,7428.90,5505.15,5505.15
01-12-2021,19,18:15 - 18:30,11159.10,9220.80,7543.26,7543.26,6043.59,6043.59
01-12-2021,19,18:30 - 18:45,10856.40,9213.10,7524.70,7524.70,5507.67,5507.67
01-12-2021,19,18:45 - 19:00,10011.30,9286.60,7542.40,7542.40,5300.20,5300.20
01-12-2021,20,19:00 - 19:15,8563.10,9254.00,7321.80,7321.80,4151.14,4151.14
01-12-2021,20,19:15 - 19:30,8030.20,9167.80,7034.50,7034.50,3808.98,3808.98
01-12-2021,20,19:30 - 19:45,7644.40,9284.20,6794.60,6794.60,3643.31,3643.31
01-12-2021,20,19:45 - 20:00,7153.00,9260.30,6415.60,6415.60,3565.64,3565.64
01-12-2021,21,20:00 - 20:15,6790.90,9927.10,6327.80,6327.80,3100.09,3100.09
01-12-2021,21,20:15 - 20:30,6465.90,9522.40,5963.90,5963.90,3119.31,3119.31
01-12-2021,21,20:30 - 20:45,6164.50,9811.70,5722.10,5722.10,3029.80,3029.80
01-12-2021,21,20:45 - 21:00,6010.10,10048.80,5604.30,5604.30,2905.53,2905.53
01-12-2021,22,21:00 - 21:15,6083.60,10120.40,5604.70,5604.70,2821.31,2821.31
01-12-2021,22,21:15 - 21:30,5627.70,9976.10,5148.80,5148.80,2817.45,2817.45
01-12-2021,22,21:30 - 21:45,5180.50,10432.00,4948.00,4948.00,2600.46,2600.46
01-12-2021,22,21:45 - 22:00,5094.60,10791.40,4875.50,4875.50,2550.82,2550.82
01-12-2021,23,22:00 - 22:15,4934.60,11330.80,4503.60,4503.60,2089.07,2089.07
01-12-2021,23,22:15 - 22:30,4794.30,11311.50,4361.60,4361.60,2089.23,2089.23
