Date ,Hour,          Time ,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
01-11-2021,1,00:00 - 00:15,5779.00,15597.10,5384.10,5384.10,1999.39,1999.39
01-11-2021,1,00:15 - 00:30,5750.80,15574.10,5355.70,5355.70,1999.45,1999.45
01-11-2021,1,00:30 - 00:45,5739.40,15828.10,5344.80,5344.80,1999.20,1999.20
01-11-2021,1,00:45 - 01:00,5660.90,15898.80,5266.00,5266.00,1998.93,1998.93
01-11-2021,2,01:00 - 01:15,5849.20,16023.80,5454.50,5454.50,1999.11,1999.11
01-11-2021,2,01:15 - 01:30,5799.50,16080.80,5405.20,5405.20,1998.66,1998.66
01-11-2021,2,01:30 - 01:45,5742.40,16243.70,5348.60,5348.60,1979.08,1979.08
01-11-2021,2,01:45 - 02:00,5699.90,16208.60,5306.50,5306.50,1998.29,1998.29
01-11-2021,3,02:00 - 02:15,5766.50,16352.60,5372.30,5372.30,1998.57,1998.57
01-11-2021,3,02:15 - 02:30,5788.60,16151.60,5394.09,5394.09,1999.17,1999.17
01-11-2021,3,02:30 - 02:45,5620.80,16312.80,5226.40,5226.40,1998.37,1998.37
01-11-2021,3,02:45 - 03:00,5590.30,16516.80,5195.40,5195.40,1970.18,1970.18
01-11-2021,4,03:00 - 03:15,5583.20,16509.80,5201.00,5201.00,1970.41,1970.41
01-11-2021,4,03:15 - 03:30,5559.10,16637.80,5234.20,5234.20,1713.97,1713.97
01-11-2021,4,03:30 - 03:45,5607.40,16716.80,5282.80,5282.80,1713.83,1713.83
01-11-2021,4,03:45 - 04:00,5496.90,16792.20,5172.50,5172.50,1713.07,1713.07
01-11-2021,5,04:00 - 04:15,5503.80,16889.30,5175.70,5175.70,1710.90,1710.90
01-11-2021,5,04:15 - 04:30,5492.30,16203.30,5107.00,5107.00,1979.59,1979.59
01-11-2021,5,04:30 - 04:45,5462.70,15901.30,5122.20,5122.20,1799.55,1799.55
01-11-2021,5,04:45 - 05:00,5540.00,14974.90,5155.60,5155.60,1989.17,1989.17
01-11-2021,6,05:00 - 05:15,6374.00,13872.30,5649.30,5649.30,2188.84,2188.84
01-11-2021,6,05:15 - 05:30,6641.20,13157.90,5784.50,5784.50,2393.50,2393.50
01-11-2021,6,05:30 - 05:45,7695.80,13310.60,6410.80,6410.80,2692.64,2692.64
01-11-2021,6,05:45 - 06:00,8020.30,13075.50,6584.90,6584.90,2800.88,2800.88
01-11-2021,7,06:00 - 06:15,9562.00,13394.30,7905.70,7905.70,2947.31,2947.31
01-11-2021,7,06:15 - 06:30,10820.40,13355.90,9035.10,9035.10,3010.51,3010.51
01-11-2021,7,06:30 - 06:45,11981.40,13283.30,9539.50,9539.50,3544.69,3544.69
01-11-2021,7,06:45 - 07:00,12365.30,13118.30,9811.00,9811.00,3769.51,3769.51
01-11-2021,8,07:00 - 07:15,12240.50,12955.70,9645.20,9645.20,3769.50,3769.50
01-11-2021,8,07:15 - 07:30,12778.70,12934.70,10020.50,10020.50,3977.51,3977.51
01-11-2021,8,07:30 - 07:45,12640.50,12876.40,9958.70,9958.70,3900.14,3900.14
01-11-2021,8,07:45 - 08:00,12187.90,12772.30,9620.30,9620.30,3898.06,3898.06
01-11-2021,9,08:00 - 08:15,10969.80,12836.30,9180.98,9180.98,3333.91,3333.91
01-11-2021,9,08:15 - 08:30,10676.90,13059.40,9091.40,9091.40,3246.93,3246.93
01-11-2021,9,08:30 - 08:45,10509.80,13176.50,9020.70,9020.70,3247.20,3247.20
01-11-2021,9,08:45 - 09:00,10086.50,13523.50,8697.40,8697.40,3243.47,3243.47
01-11-2021,10,09:00 - 09:15,9504.60,13171.70,8031.80,8031.80,3100.94,3100.94
01-11-2021,10,09:15 - 09:30,9237.60,13369.80,7791.60,7791.60,3010.37,3010.37
01-11-2021,10,09:30 - 09:45,9324.10,13207.40,7973.50,7973.50,3099.24,3099.24
01-11-2021,10,09:45 - 10:00,9152.90,13219.60,7904.40,7904.40,3051.72,3051.72
01-11-2021,11,10:00 - 10:15,8931.30,13508.40,7538.00,7538.00,2989.66,2989.66
01-11-2021,11,10:15 - 10:30,9023.90,13653.10,7630.60,7630.60,2989.40,2989.40
01-11-2021,11,10:30 - 10:45,8748.20,13592.10,7473.70,7473.70,2949.90,2949.90
01-11-2021,11,10:45 - 11:00,8715.40,13765.10,7440.90,7440.90,2947.75,2947.75
01-11-2021,12,11:00 - 11:15,8915.30,13717.50,7629.80,7629.80,2989.05,2989.05
01-11-2021,12,11:15 - 11:30,8819.40,13575.90,7534.90,7534.90,2989.26,2989.26
01-11-2021,12,11:30 - 11:45,8783.80,13654.10,7516.00,7516.00,2949.86,2949.86
01-11-2021,12,11:45 - 12:00,8589.90,13587.00,7322.10,7322.10,2948.51,2948.51
01-11-2021,13,12:00 - 12:15,7751.70,13694.30,6649.10,6649.10,2791.86,2791.86
01-11-2021,13,12:15 - 12:30,7729.80,13701.60,6652.20,6652.20,2790.51,2790.51
01-11-2021,13,12:30 - 12:45,7206.00,13819.20,6301.90,6301.90,2500.15,2500.15
01-11-2021,13,12:45 - 13:00,6920.80,14016.80,6112.50,6112.50,2400.78,2400.78
01-11-2021,14,13:00 - 13:15,6549.70,14573.70,5875.20,5875.20,2188.43,2188.43
01-11-2021,14,13:15 - 13:30,6490.50,14794.20,5816.00,5816.00,2188.05,2188.05
01-11-2021,14,13:30 - 13:45,6579.10,14732.40,5904.60,5904.60,2188.32,2188.32
01-11-2021,14,13:45 - 14:00,6548.80,14453.60,5874.30,5874.30,2188.36,2188.36
01-11-2021,15,14:00 - 14:15,7082.70,14210.50,6262.00,6262.00,2430.03,2430.03
01-11-2021,15,14:15 - 14:30,7342.90,14152.70,6522.20,6522.20,2430.29,2430.29
01-11-2021,15,14:30 - 14:45,8021.60,13894.40,7169.60,7169.60,2483.93,2483.93
01-11-2021,15,14:45 - 15:00,8220.10,13428.30,7251.50,7251.50,2600.82,2600.82
01-11-2021,16,15:00 - 15:15,8104.20,13193.30,7117.20,7117.20,2520.73,2520.73
