Date ,Hour,Time block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
01-10-2021,1,00:00 - 00:15,13508.50,10476.10,9826.87,9826.87,6999.51,6999.51
01-10-2021,1,00:15 - 00:30,13432.70,10513.00,9863.77,9863.77,6999.41,6999.41
01-10-2021,1,00:30 - 00:45,13408.50,10563.00,9863.77,9863.77,6999.43,6999.43
01-10-2021,1,00:45 - 01:00,12986.40,10619.70,9781.33,9781.33,5989.32,5989.32
01-10-2021,2,01:00 - 01:15,12985.20,10483.10,9698.67,9698.67,6999.11,6999.11
01-10-2021,2,01:15 - 01:30,12568.90,10524.10,9360.67,9360.67,5922.54,5922.54
01-10-2021,2,01:30 - 01:45,12499.00,10555.40,9300.30,9300.30,5922.02,5922.02
01-10-2021,2,01:45 - 02:00,12057.30,10596.40,8914.60,8914.60,4579.01,4579.01
01-10-2021,3,02:00 - 02:15,12550.70,10455.50,9209.50,9209.50,5021.94,5021.94
01-10-2021,3,02:15 - 02:30,12496.90,10433.50,9219.70,9219.70,5922.05,5922.05
01-10-2021,3,02:30 - 02:45,12270.50,10376.70,8929.20,8929.20,5021.58,5021.58
01-10-2021,3,02:45 - 03:00,12155.00,10351.80,8803.60,8803.60,5021.22,5021.22
01-10-2021,4,03:00 - 03:15,11923.70,10281.20,8631.60,8631.60,4989.93,4989.93
01-10-2021,4,03:15 - 03:30,11830.70,10301.20,8540.00,8540.00,4621.49,4621.49
01-10-2021,4,03:30 - 03:45,11800.10,10096.40,8624.20,8624.20,5021.58,5021.58
01-10-2021,4,03:45 - 04:00,11677.70,10136.50,8537.10,8537.10,5021.13,5021.13
01-10-2021,5,04:00 - 04:15,11787.90,10551.60,8795.60,8795.60,4672.73,4672.73
01-10-2021,5,04:15 - 04:30,11731.70,10375.20,8739.10,8739.10,4999.89,4999.89
01-10-2021,5,04:30 - 04:45,11622.50,10255.30,8681.00,8681.00,5021.22,5021.22
01-10-2021,5,04:45 - 05:00,11679.80,10158.20,8801.90,8801.90,5021.98,5021.98
01-10-2021,6,05:00 - 05:15,12917.70,9750.20,9005.06,9005.06,6520.31,6520.31
01-10-2021,6,05:15 - 05:30,13300.10,10174.30,9429.16,9429.16,6520.23,6520.23
01-10-2021,6,05:30 - 05:45,13504.20,10826.70,10081.53,10081.53,6500.69,6500.69
01-10-2021,6,05:45 - 06:00,13846.40,11379.40,10555.30,10555.30,5999.24,5999.24
01-10-2021,7,06:00 - 06:15,14489.90,12135.10,10905.40,10905.40,5922.35,5922.35
01-10-2021,7,06:15 - 06:30,14885.20,12341.90,11221.50,11221.50,5922.55,5922.55
01-10-2021,7,06:30 - 06:45,15438.30,12218.60,11369.93,11369.93,6500.24,6500.24
01-10-2021,7,06:45 - 07:00,15141.00,12827.00,11322.41,11322.41,5000.40,5000.40
01-10-2021,8,07:00 - 07:15,15037.30,12634.50,11102.20,11102.20,5021.04,5021.04
01-10-2021,8,07:15 - 07:30,14857.10,12799.60,11041.70,11041.70,4579.06,4579.06
01-10-2021,8,07:30 - 07:45,14653.90,12950.60,10984.20,10984.20,4049.92,4049.92
01-10-2021,8,07:45 - 08:00,14418.70,13098.90,10947.50,10947.50,3759.65,3759.65
01-10-2021,9,08:00 - 08:15,13985.00,13723.50,11072.21,11072.21,3850.09,3850.09
01-10-2021,9,08:15 - 08:30,13808.30,13963.90,10941.70,10941.70,3739.26,3739.26
01-10-2021,9,08:30 - 08:45,13550.80,14376.70,10948.58,10948.58,3500.70,3500.70
01-10-2021,9,08:45 - 09:00,13627.30,14729.40,11179.17,11179.17,3420.23,3420.23
01-10-2021,10,09:00 - 09:15,13747.20,14527.10,10945.18,10945.18,3490.78,3490.78
01-10-2021,10,09:15 - 09:30,13981.60,14422.90,10906.00,10906.00,3546.91,3546.91
01-10-2021,10,09:30 - 09:45,14215.20,14258.80,11085.40,11085.40,3739.51,3739.51
01-10-2021,10,09:45 - 10:00,13771.30,14044.10,10970.30,10970.30,3759.26,3759.26
01-10-2021,11,10:00 - 10:15,13200.30,13882.80,10320.38,10320.38,3500.14,3500.14
01-10-2021,11,10:15 - 10:30,12962.50,13942.90,10104.10,10104.10,3421.45,3421.45
01-10-2021,11,10:30 - 10:45,12863.10,14004.10,10005.50,10005.50,3421.41,3421.41
01-10-2021,11,10:45 - 11:00,12979.00,14121.40,10120.50,10120.50,3421.45,3421.45
01-10-2021,12,11:00 - 11:15,12308.60,14950.50,9972.60,9972.60,3299.21,3299.21
01-10-2021,12,11:15 - 11:30,12336.10,15104.50,10001.30,10001.30,3279.41,3279.41
01-10-2021,12,11:30 - 11:45,12333.50,15144.40,9999.20,9999.20,3279.58,3279.58
01-10-2021,12,11:45 - 12:00,12410.60,15275.50,10075.70,10075.70,3279.46,3279.46
01-10-2021,13,12:00 - 12:15,11539.40,15492.30,9276.60,9276.60,3149.37,3149.37
01-10-2021,13,12:15 - 12:30,11241.50,15495.20,8988.50,8988.50,3109.12,3109.12
01-10-2021,13,12:30 - 12:45,11067.80,15378.00,8913.70,8913.70,3136.14,3136.14
01-10-2021,13,12:45 - 13:00,11189.20,15205.30,9026.10,9026.10,3149.12,3149.12
01-10-2021,14,13:00 - 13:15,10617.50,14901.30,8520.80,8520.80,3041.76,3041.76
01-10-2021,14,13:15 - 13:30,10630.20,15356.70,8666.00,8666.00,2980.33,2980.33
01-10-2021,14,13:30 - 13:45,11598.20,15138.30,9272.10,9272.10,3136.18,3136.18
01-10-2021,14,13:45 - 14:00,11847.90,14935.40,9524.70,9524.70,3136.75,3136.75
01-10-2021,15,14:00 - 14:15,12864.60,14750.00,10210.60,10210.60,3279.93,3279.93
01-10-2021,15,14:15 - 14:30,13373.00,14421.30,10642.80,10642.80,3410.49,3410.49
01-10-2021,15,14:30 - 14:45,14205.30,14112.30,11339.00,11339.00,3610.90,3610.90
01-10-2021,15,14:45 - 15:00,14862.50,13821.60,11649.19,11649.19,4500.25,4500.25
01-10-2021,16,15:00 - 15:15,15634.80,13553.10,11990.20,11990.20,5021.54,5021.54
01-10-2021,16,15:15 - 15:30,15710.80,13917.30,12107.30,12107.30,4989.59,4989.59
01-10-2021,16,15:30 - 15:45,16108.30,14237.40,12231.70,12231.70,4530.00,4530.00
01-10-2021,16,15:45 - 16:00,16335.40,14025.50,12403.90,12403.90,5021.30,5021.30
01-10-2021,17,16:00 - 16:15,16233.00,14000.90,12247.30,12247.30,4989.44,4989.44
01-10-2021,17,16:15 - 16:30,16462.50,13652.60,12199.31,12199.31,5000.72,5000.72
01-10-2021,17,16:30 - 16:45,16864.50,13637.00,12531.90,12531.90,5021.80,5021.80
01-10-2021,17,16:45 - 17:00,16840.00,12967.10,12455.37,12455.37,7003.40,7003.40
01-10-2021,18,17:00 - 17:15,17566.70,12721.60,12379.62,12379.62,8520.38,8520.38
01-10-2021,18,17:15 - 17:30,17787.00,12271.80,12014.02,12014.02,8520.49,8520.49
01-10-2021,18,17:30 - 17:45,18165.30,11606.10,11572.63,11572.63,12520.69,12520.69
01-10-2021,18,17:45 - 18:00,18116.20,10690.10,10658.83,10658.83,14001.16,14001.16
01-10-2021,19,18:00 - 18:15,17071.60,10425.40,10394.89,10394.89,14520.49,14520.49
01-10-2021,19,18:15 - 18:30,17720.10,9722.00,9722.00,9722.00,19999.06,19999.06
01-10-2021,19,18:30 - 18:45,18645.30,9242.70,9242.70,9242.70,19999.23,19999.23
01-10-2021,19,18:45 - 19:00,18975.20,9073.20,9073.20,9073.20,19999.26,19999.26
01-10-2021,20,19:00 - 19:15,19282.30,9325.50,9325.50,9325.50,19999.14,19999.14
01-10-2021,20,19:15 - 19:30,20242.50,9444.10,9444.10,9444.10,19999.13,19999.13
01-10-2021,20,19:30 - 19:45,20242.00,9545.40,9545.40,9545.40,19999.06,19999.06
01-10-2021,20,19:45 - 20:00,20062.60,9613.10,9613.10,9613.10,19999.01,19999.01
01-10-2021,21,20:00 - 20:15,19171.70,9708.50,9702.58,9702.58,16000.73,16000.73
01-10-2021,21,20:15 - 20:30,18925.80,9947.40,9930.00,9930.00,15000.71,15000.71
01-10-2021,21,20:30 - 20:45,18867.40,10107.30,10089.90,10089.90,15000.91,15000.91
01-10-2021,21,20:45 - 21:00,18952.20,10252.60,10236.68,10236.68,16000.03,16000.03
01-10-2021,22,21:00 - 21:15,18579.30,10577.60,10527.20,10527.20,14999.87,14999.87
01-10-2021,22,21:15 - 21:30,18392.30,10760.30,10481.43,10481.43,14000.71,14000.71
01-10-2021,22,21:30 - 21:45,18108.60,10879.40,10527.17,10527.17,12000.95,12000.95
01-10-2021,22,21:45 - 22:00,17607.10,10911.30,10559.07,10559.07,12000.34,12000.34
01-10-2021,23,22:00 - 22:15,16881.10,10629.80,10270.45,10270.45,11920.01,11920.01
01-10-2021,23,22:15 - 22:30,17017.60,10719.70,10254.90,10254.90,9789.55,9789.55
01-10-2021,23,22:30 - 22:45,16862.50,10962.30,10293.47,10293.47,6999.97,6999.97
01-10-2021,23,22:45 - 23:00,16514.80,11042.60,10373.77,10373.77,6999.39,6999.39
01-10-2021,24,23:00 - 23:15,17199.30,11149.10,10566.75,10566.75,8000.65,8000.65
01-10-2021,24,23:15 - 23:30,16926.20,11123.50,10434.67,10434.67,6999.85,6999.85
01-10-2021,24,23:30 - 23:45,16535.60,11275.10,10546.27,10546.27,6999.53,6999.53
01-10-2021,24,23:45 - 24:00,16290.80,11268.80,10539.97,10539.97,6999.03,6999.03
02-10-2021,1,00:00 - 00:15,15956.40,9702.90,9411.82,9411.82,8520.53,8520.53
02-10-2021,1,00:15 - 00:30,15993.10,9788.90,9497.82,9497.82,8520.60,8520.60
02-10-2021,1,00:30 - 00:45,16056.00,9847.90,9556.82,9556.82,8520.70,8520.70
02-10-2021,1,00:45 - 01:00,15762.40,9790.60,9499.52,9499.52,8520.59,8520.59
02-10-2021,2,01:00 - 01:15,16041.50,9303.70,8918.32,8918.32,8520.98,8520.98
02-10-2021,2,01:15 - 01:30,15843.40,9292.80,8907.42,8907.42,8520.94,8520.94
02-10-2021,2,01:30 - 01:45,16012.90,9326.80,8941.42,8941.42,8520.98,8520.98
02-10-2021,2,01:45 - 02:00,15592.30,9365.10,8978.63,8978.63,7600.95,7600.95
02-10-2021,3,02:00 - 02:15,15401.00,9200.60,8835.19,8835.19,8500.06,8500.06
02-10-2021,3,02:15 - 02:30,15298.90,9257.50,8892.11,8892.11,8520.65,8520.65
02-10-2021,3,02:30 - 02:45,15067.20,9188.30,8821.73,8821.73,7520.60,7520.60
02-10-2021,3,02:45 - 03:00,14722.20,9255.30,8888.73,8888.73,7520.47,7520.47
02-10-2021,4,03:00 - 03:15,14597.10,9350.50,9013.93,9013.93,7520.28,7520.28
02-10-2021,4,03:15 - 03:30,14104.30,9384.60,9048.03,9048.03,7520.11,7520.11
02-10-2021,4,03:30 - 03:45,13986.90,9359.50,9022.93,9022.93,7520.21,7520.21
02-10-2021,4,03:45 - 04:00,13604.90,9370.40,9033.83,9033.83,7520.10,7520.10
02-10-2021,5,04:00 - 04:15,13330.90,9338.50,8982.93,8982.93,7520.15,7520.15
02-10-2021,5,04:15 - 04:30,13360.10,9424.60,9069.03,9069.03,7520.13,7520.13
02-10-2021,5,04:30 - 04:45,13446.30,9266.50,8910.93,8910.93,7520.24,7520.24
02-10-2021,5,04:45 - 05:00,13944.90,9252.50,8896.93,8896.93,7520.53,7520.53
02-10-2021,6,05:00 - 05:15,14244.60,8825.00,8495.90,8495.90,9520.90,9520.90
02-10-2021,6,05:15 - 05:30,14467.20,9560.10,9231.00,9231.00,9520.58,9520.58
02-10-2021,6,05:30 - 05:45,14798.50,9944.90,9615.80,9615.80,9520.50,9520.50
02-10-2021,6,05:45 - 06:00,15183.10,10509.70,10179.98,10179.98,9000.48,9000.48
02-10-2021,7,06:00 - 06:15,16115.60,11293.00,10924.61,10924.61,8520.32,8520.32
02-10-2021,7,06:15 - 06:30,16945.10,11663.20,11083.01,11083.01,8520.61,8520.61
02-10-2021,7,06:30 - 06:45,17573.20,12310.10,11616.91,11616.91,8520.40,8520.40
02-10-2021,7,06:45 - 07:00,17463.20,12703.60,11785.11,11785.11,8520.23,8520.23
02-10-2021,8,07:00 - 07:15,17081.90,12842.20,11662.05,11662.05,6520.18,6520.18
02-10-2021,8,07:15 - 07:30,16735.60,12867.80,11587.64,11587.64,6520.12,6520.12
02-10-2021,8,07:30 - 07:45,16103.00,12839.70,11206.90,11206.90,5922.64,5922.64
02-10-2021,8,07:45 - 08:00,15334.00,13280.10,10773.55,10773.55,5000.63,5000.63
02-10-2021,9,08:00 - 08:15,13712.20,12838.80,10038.00,10038.00,4529.30,4529.30
02-10-2021,9,08:15 - 08:30,13215.80,12848.10,9900.97,9900.97,4000.63,4000.63
02-10-2021,9,08:30 - 08:45,13011.10,13011.40,9989.50,9989.50,3999.25,3999.25
02-10-2021,9,08:45 - 09:00,12402.50,12857.90,9639.60,9639.60,3798.42,3798.42
02-10-2021,10,09:00 - 09:15,12187.20,13713.60,9770.00,9770.00,3249.64,3249.64
02-10-2021,10,09:15 - 09:30,12025.80,13517.00,9557.90,9557.90,3355.45,3355.45
02-10-2021,10,09:30 - 09:45,12167.80,13150.90,9588.80,9588.80,3410.67,3410.67
02-10-2021,10,09:45 - 10:00,11950.30,12824.00,9371.30,9371.30,3410.93,3410.93
02-10-2021,11,10:00 - 10:15,11610.70,12359.90,8877.60,8877.60,3410.61,3410.61
02-10-2021,11,10:15 - 10:30,11358.30,12008.00,8725.20,8725.20,3410.74,3410.74
02-10-2021,11,10:30 - 10:45,10971.40,12226.80,8738.30,8738.30,3410.64,3410.64
02-10-2021,11,10:45 - 11:00,11001.90,12289.90,8768.80,8768.80,3410.72,3410.72
02-10-2021,12,11:00 - 11:15,10948.70,12610.80,8737.10,8737.10,3410.15,3410.15
02-10-2021,12,11:15 - 11:30,10773.30,12888.20,8616.30,8616.30,3249.65,3249.65
02-10-2021,12,11:30 - 11:45,11002.00,12989.60,8840.60,8840.60,3255.07,3255.07
02-10-2021,12,11:45 - 12:00,10961.30,13089.60,8804.30,8804.30,3249.73,3249.73
02-10-2021,13,12:00 - 12:15,10200.60,13274.20,8187.10,8187.10,3103.56,3103.56
02-10-2021,13,12:15 - 12:30,9937.90,13321.00,7952.30,7952.30,3041.80,3041.80
02-10-2021,13,12:30 - 12:45,9786.90,13294.00,7899.60,7899.60,3041.70,3041.70
02-10-2021,13,12:45 - 13:00,9705.20,13134.40,7817.90,7817.90,3049.01,3049.01
02-10-2021,14,13:00 - 13:15,9527.70,13386.80,7638.10,7638.10,3041.04,3041.04
02-10-2021,14,13:15 - 13:30,9622.40,13659.00,7732.80,7732.80,3041.12,3041.12
02-10-2021,14,13:30 - 13:45,9914.40,13654.90,8029.50,8029.50,3049.37,3049.37
02-10-2021,14,13:45 - 14:00,9992.40,13589.50,8094.80,8094.80,3100.19,3100.19
